,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,1001.0,9729.0,1829.0,2729.0,5391.0,4495.0,10621.0,149.0,8043.0,172.0,4540.0,2795.0,6273.0,8890.0,1870.0,3682.0,10663.0,1882.0,1905.0,1042.0,46816.0
G_1,1001.0,0.0,8865.0,1026.0,1871.0,4555.0,3622.0,9754.0,1020.0,7207.0,979.0,5347.0,1952.0,5427.0,8036.0,1016.0,2832.0,9813.0,998.0,1029.0,173.0,47592.0
G_2,9729.0,8865.0,0.0,7974.0,7121.0,4464.0,5369.0,978.0,9764.0,1889.0,9762.0,14136.0,7108.0,3596.0,1005.0,7985.0,6232.0,1004.0,7993.0,8006.0,8878.0,56397.0
G_3,1829.0,1026.0,7974.0,0.0,1002.0,3649.0,2753.0,8866.0,1880.0,6288.0,1923.0,6281.0,1041.0,4508.0,7118.0,139.0,1919.0,8916.0,167.0,177.0,1026.0,48577.0
G_4,2729.0,1871.0,7121.0,1002.0,0.0,2789.0,1861.0,7989.0,2724.0,5450.0,2764.0,7135.0,176.0,3663.0,6252.0,995.0,1073.0,8061.0,993.0,1014.0,1866.0,49385.0
G_5,5391.0,4555.0,4464.0,3649.0,2789.0,0.0,1061.0,5357.0,5421.0,2796.0,5422.0,9819.0,2788.0,1047.0,3631.0,3674.0,1927.0,5385.0,3677.0,3700.0,4535.0,52085.0
G_6,4495.0,3622.0,5369.0,2753.0,1861.0,1061.0,0.0,6237.0,4478.0,3715.0,4501.0,8876.0,1886.0,1926.0,4493.0,2743.0,1055.0,6304.0,2728.0,2736.0,3613.0,51124.0
G_7,10621.0,9754.0,978.0,8866.0,7989.0,5357.0,6237.0,0.0,10631.0,2767.0,10633.0,15034.0,7994.0,4510.0,1878.0,8875.0,7128.0,137.0,8873.0,8874.0,9752.0,57262.0
G_8,149.0,1020.0,9764.0,1880.0,2724.0,5421.0,4478.0,10631.0,0.0,8083.0,146.0,4514.0,2800.0,6304.0,8882.0,1889.0,3687.0,10689.0,1880.0,1866.0,1004.0,46767.0
G_9,8043.0,7207.0,1889.0,6288.0,5450.0,2796.0,3715.0,2767.0,8083.0,0.0,8108.0,12479.0,5452.0,1932.0,1084.0,6326.0,4539.0,2767.0,6329.0,6340.0,7212.0,54750.0
G_10,172.0,979.0,9762.0,1923.0,2764.0,5422.0,4501.0,10633.0,146.0,8108.0,0.0,4532.0,2832.0,6341.0,8922.0,1914.0,3738.0,10687.0,1883.0,1889.0,1006.0,46729.0
G_11,4540.0,5347.0,14136.0,6281.0,7135.0,9819.0,8876.0,15034.0,4514.0,12479.0,4532.0,0.0,7201.0,10677.0,13283.0,6272.0,8084.0,15067.0,6259.0,6264.0,5418.0,42398.0
G_12,2795.0,1952.0,7108.0,1041.0,176.0,2788.0,1886.0,7994.0,2800.0,5452.0,2832.0,7201.0,0.0,3666.0,6262.0,1050.0,1054.0,8038.0,1060.0,1079.0,1933.0,49476.0
G_13,6273.0,5427.0,3596.0,4508.0,3663.0,1047.0,1926.0,4510.0,6304.0,1932.0,6341.0,10677.0,3666.0,0.0,2743.0,4537.0,2793.0,4542.0,4549.0,4564.0,5444.0,52974.0
G_14,8890.0,8036.0,1005.0,7118.0,6252.0,3631.0,4493.0,1878.0,8882.0,1084.0,8922.0,13283.0,6262.0,2743.0,0.0,7123.0,5395.0,1941.0,7128.0,7135.0,8026.0,55545.0
G_15,1870.0,1016.0,7985.0,139.0,995.0,3674.0,2743.0,8875.0,1889.0,6326.0,1914.0,6272.0,1050.0,4537.0,7123.0,0.0,1943.0,8928.0,137.0,171.0,1041.0,48547.0
G_16,3682.0,2832.0,6232.0,1919.0,1073.0,1927.0,1055.0,7128.0,3687.0,4539.0,3738.0,8084.0,1054.0,2793.0,5395.0,1943.0,0.0,7129.0,1953.0,1960.0,2824.0,50368.0
G_17,10663.0,9813.0,1004.0,8916.0,8061.0,5385.0,6304.0,137.0,10689.0,2767.0,10687.0,15067.0,8038.0,4542.0,1941.0,8928.0,7129.0,0.0,8935.0,8933.0,9811.0,57334.0
G_18,1882.0,998.0,7993.0,167.0,993.0,3677.0,2728.0,8873.0,1880.0,6329.0,1883.0,6259.0,1060.0,4549.0,7128.0,137.0,1953.0,8935.0,0.0,146.0,1015.0,48508.0
G_19,1905.0,1029.0,8006.0,177.0,1014.0,3700.0,2736.0,8874.0,1866.0,6340.0,1889.0,6264.0,1079.0,4564.0,7135.0,171.0,1960.0,8933.0,146.0,0.0,1019.0,48514.0
G_20,1042.0,173.0,8878.0,1026.0,1866.0,4535.0,3613.0,9752.0,1004.0,7212.0,1006.0,5418.0,1933.0,5444.0,8026.0,1041.0,2824.0,9811.0,1015.0,1019.0,0.0,47657.0
G_21,46816.0,47592.0,56397.0,48577.0,49385.0,52085.0,51124.0,57262.0,46767.0,54750.0,46729.0,42398.0,49476.0,52974.0,55545.0,48547.0,50368.0,57334.0,48508.0,48514.0,47657.0,0.0
