,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,99.0,184.0,79.0,37.0,106.0,185.0,124.0,75.0,152.0,35.0,151.0,76.0,105.0,309.0,139.0,98.0,187.0,186.0,94.0,128.0,40.0,152.0,32.0,137.0,173.0,56.0,235.0,92.0,86.0,23.0,369.0,47.0,93.0,90.0,72.0,101.0,99.0,293.0,151.0,116.0,1460.0
G_1,99.0,0.0,102.0,152.0,113.0,191.0,268.0,188.0,41.0,228.0,113.0,82.0,35.0,43.0,390.0,217.0,174.0,269.0,268.0,23.0,61.0,79.0,79.0,76.0,61.0,252.0,65.0,313.0,178.0,157.0,92.0,293.0,60.0,20.0,19.0,153.0,177.0,12.0,370.0,84.0,42.0,1380.0
G_2,184.0,102.0,0.0,243.0,196.0,275.0,355.0,278.0,120.0,316.0,193.0,50.0,119.0,81.0,473.0,303.0,264.0,354.0,352.0,104.0,72.0,165.0,48.0,167.0,69.0,332.0,149.0,394.0,262.0,233.0,181.0,217.0,142.0,109.0,103.0,235.0,258.0,95.0,452.0,47.0,82.0,1300.0
G_3,79.0,152.0,243.0,0.0,60.0,56.0,137.0,64.0,138.0,95.0,57.0,221.0,130.0,180.0,256.0,80.0,37.0,136.0,132.0,160.0,195.0,97.0,218.0,97.0,197.0,116.0,119.0,171.0,42.0,29.0,82.0,437.0,119.0,155.0,157.0,17.0,41.0,154.0,234.0,220.0,185.0,1520.0
G_4,37.0,113.0,196.0,60.0,0.0,89.0,169.0,102.0,92.0,132.0,11.0,176.0,92.0,131.0,294.0,125.0,83.0,173.0,170.0,110.0,152.0,57.0,175.0,54.0,152.0,154.0,77.0,217.0,77.0,62.0,38.0,389.0,74.0,111.0,113.0,54.0,82.0,115.0,273.0,173.0,135.0,1480.0
G_5,106.0,191.0,275.0,56.0,89.0,0.0,86.0,25.0,169.0,53.0,89.0,253.0,167.0,207.0,212.0,42.0,38.0,89.0,86.0,190.0,227.0,131.0,250.0,127.0,230.0,74.0,152.0,135.0,33.0,64.0,114.0,470.0,145.0,190.0,191.0,49.0,43.0,191.0,193.0,251.0,212.0,1560.0
G_6,185.0,268.0,355.0,137.0,169.0,86.0,0.0,105.0,248.0,54.0,167.0,328.0,249.0,287.0,137.0,82.0,117.0,17.0,10.0,266.0,305.0,212.0,329.0,208.0,309.0,42.0,229.0,64.0,109.0,142.0,191.0,549.0,223.0,269.0,266.0,127.0,123.0,272.0,121.0,328.0,292.0,1640.0
G_7,124.0,188.0,278.0,64.0,102.0,25.0,105.0,0.0,180.0,60.0,103.0,257.0,172.0,218.0,215.0,43.0,44.0,96.0,103.0,203.0,239.0,143.0,255.0,137.0,235.0,77.0,168.0,134.0,53.0,62.0,122.0,474.0,163.0,197.0,196.0,64.0,40.0,187.0,193.0,261.0,219.0,1560.0
G_8,75.0,41.0,120.0,138.0,92.0,169.0,248.0,180.0,0.0,214.0,90.0,95.0,13.0,56.0,369.0,195.0,157.0,251.0,250.0,36.0,74.0,53.0,92.0,58.0,77.0,234.0,38.0,294.0,152.0,139.0,81.0,311.0,34.0,39.0,33.0,129.0,158.0,39.0,349.0,96.0,62.0,1400.0
G_9,152.0,228.0,316.0,95.0,132.0,53.0,54.0,60.0,214.0,0.0,130.0,292.0,209.0,254.0,175.0,41.0,79.0,51.0,53.0,230.0,270.0,175.0,291.0,170.0,270.0,35.0,197.0,98.0,81.0,102.0,154.0,512.0,191.0,232.0,231.0,92.0,81.0,228.0,155.0,292.0,254.0,1600.0
G_10,35.0,113.0,193.0,57.0,11.0,89.0,167.0,103.0,90.0,130.0,0.0,174.0,88.0,131.0,290.0,117.0,77.0,168.0,167.0,107.0,148.0,54.0,170.0,57.0,149.0,150.0,75.0,213.0,73.0,56.0,37.0,390.0,68.0,114.0,111.0,50.0,78.0,112.0,271.0,171.0,138.0,1480.0
G_11,151.0,82.0,50.0,221.0,176.0,253.0,328.0,257.0,95.0,292.0,174.0,0.0,97.0,56.0,451.0,274.0,236.0,331.0,330.0,77.0,38.0,135.0,17.0,138.0,41.0,315.0,117.0,377.0,234.0,222.0,159.0,230.0,111.0,75.0,72.0,212.0,238.0,80.0,432.0,18.0,61.0,1320.0
G_12,76.0,35.0,119.0,130.0,92.0,167.0,249.0,172.0,13.0,209.0,88.0,97.0,0.0,57.0,366.0,192.0,153.0,247.0,246.0,41.0,76.0,56.0,94.0,57.0,75.0,227.0,41.0,287.0,153.0,134.0,76.0,310.0,37.0,38.0,36.0,127.0,153.0,31.0,347.0,98.0,61.0,1400.0
G_13,105.0,43.0,81.0,180.0,131.0,207.0,287.0,218.0,56.0,254.0,131.0,56.0,57.0,0.0,408.0,242.0,198.0,289.0,288.0,35.0,36.0,101.0,57.0,93.0,41.0,268.0,80.0,332.0,191.0,180.0,118.0,269.0,68.0,38.0,33.0,175.0,192.0,39.0,393.0,53.0,17.0,1360.0
G_14,309.0,390.0,473.0,256.0,294.0,212.0,137.0,215.0,369.0,175.0,290.0,451.0,366.0,408.0,0.0,192.0,228.0,131.0,135.0,393.0,426.0,330.0,450.0,333.0,429.0,151.0,349.0,97.0,234.0,253.0,318.0,668.0,350.0,391.0,390.0,250.0,231.0,386.0,37.0,453.0,413.0,1760.0
G_15,139.0,217.0,303.0,80.0,125.0,42.0,82.0,43.0,195.0,41.0,117.0,274.0,192.0,242.0,192.0,0.0,56.0,76.0,83.0,218.0,255.0,154.0,275.0,161.0,256.0,63.0,179.0,116.0,62.0,82.0,146.0,497.0,179.0,217.0,217.0,75.0,60.0,213.0,171.0,277.0,249.0,1580.0
G_16,98.0,174.0,264.0,37.0,83.0,38.0,117.0,44.0,157.0,79.0,77.0,236.0,153.0,198.0,228.0,56.0,0.0,116.0,115.0,180.0,210.0,116.0,237.0,119.0,215.0,99.0,137.0,156.0,23.0,49.0,105.0,458.0,137.0,177.0,178.0,39.0,21.0,175.0,212.0,239.0,205.0,1540.0
G_17,187.0,269.0,354.0,136.0,173.0,89.0,17.0,96.0,251.0,51.0,168.0,331.0,247.0,289.0,131.0,76.0,116.0,0.0,16.0,269.0,307.0,211.0,329.0,210.0,305.0,34.0,233.0,58.0,116.0,137.0,199.0,552.0,228.0,272.0,269.0,130.0,117.0,266.0,115.0,332.0,296.0,1640.0
G_18,186.0,268.0,352.0,132.0,170.0,86.0,10.0,103.0,250.0,53.0,167.0,330.0,246.0,288.0,135.0,83.0,115.0,16.0,0.0,269.0,306.0,212.0,328.0,209.0,309.0,38.0,229.0,64.0,110.0,142.0,194.0,548.0,226.0,269.0,269.0,126.0,122.0,269.0,121.0,330.0,294.0,1640.0
