,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,75.0,93.0,87.0,230.0,25.0,165.0,75.0,33.0,69.0,80.0,72.0,93.0,111.0,146.0,111.0,132.0,70.0,12.0,222.0,66.0,150.0,30.0,50.0,10.0,187.0,25.0,55.0,53.0,69.0,96.0,165.0,169.0,28.0,202.0,10.0,31.0,147.0,191.0,153.0,245.0,1460.0
G_1,75.0,0.0,35.0,37.0,171.0,59.0,110.0,139.0,58.0,137.0,144.0,20.0,42.0,170.0,209.0,180.0,200.0,139.0,74.0,287.0,20.0,101.0,96.0,38.0,75.0,250.0,98.0,123.0,120.0,16.0,39.0,115.0,113.0,56.0,150.0,83.0,60.0,100.0,144.0,213.0,307.0,1520.0
G_2,93.0,35.0,0.0,19.0,145.0,75.0,88.0,155.0,76.0,154.0,163.0,42.0,23.0,193.0,229.0,197.0,217.0,153.0,96.0,306.0,40.0,72.0,114.0,58.0,92.0,274.0,114.0,141.0,141.0,34.0,26.0,95.0,94.0,74.0,129.0,99.0,80.0,79.0,118.0,233.0,332.0,1540.0
G_3,87.0,37.0,19.0,0.0,153.0,69.0,88.0,147.0,70.0,148.0,153.0,30.0,12.0,190.0,227.0,187.0,208.0,149.0,89.0,307.0,26.0,75.0,110.0,51.0,89.0,269.0,106.0,130.0,130.0,33.0,17.0,89.0,93.0,68.0,128.0,89.0,67.0,70.0,113.0,226.0,329.0,1540.0
G_4,230.0,171.0,145.0,153.0,0.0,210.0,73.0,283.0,215.0,288.0,298.0,176.0,156.0,333.0,369.0,330.0,352.0,286.0,230.0,446.0,173.0,93.0,249.0,190.0,227.0,413.0,251.0,275.0,270.0,172.0,155.0,74.0,79.0,210.0,34.0,236.0,212.0,97.0,56.0,371.0,471.0,1680.0
G_5,25.0,59.0,75.0,69.0,210.0,0.0,147.0,92.0,14.0,89.0,96.0,52.0,73.0,132.0,166.0,127.0,150.0,88.0,32.0,243.0,47.0,128.0,49.0,31.0,26.0,211.0,46.0,72.0,71.0,52.0,75.0,148.0,151.0,9.0,183.0,31.0,10.0,127.0,169.0,170.0,268.0,1480.0
G_6,165.0,110.0,88.0,88.0,73.0,147.0,0.0,230.0,150.0,230.0,237.0,110.0,94.0,269.0,305.0,269.0,289.0,231.0,168.0,385.0,110.0,38.0,187.0,130.0,167.0,350.0,188.0,212.0,212.0,108.0,96.0,13.0,15.0,145.0,47.0,171.0,149.0,34.0,40.0,307.0,408.0,1620.0
G_7,75.0,139.0,155.0,147.0,283.0,92.0,230.0,0.0,95.0,17.0,22.0,131.0,147.0,64.0,98.0,53.0,74.0,15.0,75.0,173.0,131.0,210.0,56.0,111.0,69.0,144.0,54.0,40.0,35.0,134.0,152.0,227.0,234.0,91.0,268.0,76.0,91.0,206.0,244.0,95.0,197.0,1400.0
G_8,33.0,58.0,76.0,70.0,215.0,14.0,150.0,95.0,0.0,97.0,97.0,51.0,72.0,134.0,171.0,134.0,156.0,96.0,34.0,251.0,51.0,135.0,52.0,37.0,34.0,215.0,52.0,78.0,78.0,53.0,79.0,149.0,154.0,13.0,187.0,34.0,15.0,132.0,177.0,171.0,275.0,1480.0
G_9,69.0,137.0,154.0,148.0,288.0,89.0,230.0,17.0,97.0,0.0,22.0,133.0,150.0,57.0,90.0,52.0,75.0,11.0,73.0,167.0,130.0,210.0,54.0,111.0,74.0,135.0,48.0,36.0,34.0,131.0,156.0,227.0,232.0,90.0,269.0,68.0,90.0,210.0,251.0,95.0,192.0,1400.0
