,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,144.0,6655.0,2531.0,5016.0,12391.0,4213.0,3430.0,10763.0,12365.0,4161.0,927.0,189.0,3375.0,3357.0,6637.0,5009.0,8284.0,7464.0,934.0,2573.0,45270.0
G_1,144.0,0.0,6682.0,2584.0,5063.0,12426.0,4242.0,3427.0,10801.0,12407.0,4174.0,935.0,212.0,3393.0,3390.0,6688.0,5036.0,8303.0,7502.0,995.0,2616.0,45251.0
G_2,6655.0,6682.0,0.0,4206.0,1781.0,5857.0,2571.0,10007.0,4205.0,5826.0,2595.0,5835.0,6696.0,3402.0,3442.0,122.0,11603.0,1758.0,958.0,5871.0,4226.0,51834.0
G_3,2531.0,2584.0,4206.0,0.0,2597.0,9940.0,1767.0,5864.0,8310.0,9918.0,1752.0,1754.0,2603.0,936.0,929.0,4213.0,7462.0,5836.0,5029.0,1750.0,116.0,47700.0
G_4,5016.0,5063.0,1781.0,2597.0,0.0,7506.0,975.0,8388.0,5884.0,7469.0,974.0,4226.0,5090.0,1789.0,1824.0,1794.0,9995.0,3410.0,2598.0,4244.0,2603.0,50221.0
G_5,12391.0,12426.0,5857.0,9940.0,7506.0,0.0,8323.0,15743.0,1794.0,171.0,8331.0,11595.0,12438.0,9141.0,9173.0,5839.0,17355.0,4202.0,5070.0,11614.0,9958.0,57584.0
G_6,4213.0,4242.0,2571.0,1767.0,975.0,8323.0,0.0,7574.0,6673.0,8287.0,159.0,3405.0,4220.0,953.0,1015.0,2581.0,9162.0,4203.0,3409.0,3422.0,1794.0,49407.0
G_7,3430.0,3427.0,10007.0,5864.0,8388.0,15743.0,7574.0,0.0,14081.0,15682.0,7503.0,4256.0,3478.0,6715.0,6645.0,9998.0,1717.0,11630.0,10805.0,4257.0,5919.0,41875.0
G_8,10763.0,10801.0,4205.0,8310.0,5884.0,1794.0,6673.0,14081.0,0.0,1756.0,6693.0,9957.0,10761.0,7508.0,7507.0,4175.0,15699.0,2592.0,3422.0,9963.0,8303.0,55913.0
G_9,12365.0,12407.0,5826.0,9918.0,7469.0,171.0,8287.0,15682.0,1756.0,0.0,8294.0,11572.0,12385.0,9116.0,9123.0,5833.0,17294.0,4204.0,5021.0,11552.0,9920.0,57515.0
G_10,4161.0,4174.0,2595.0,1752.0,974.0,8331.0,159.0,7503.0,6693.0,8294.0,0.0,3358.0,4239.0,941.0,983.0,2598.0,9105.0,4218.0,3403.0,3378.0,1779.0,49330.0
G_11,927.0,935.0,5835.0,1754.0,4226.0,11595.0,3405.0,4256.0,9957.0,11572.0,3358.0,0.0,972.0,2574.0,2554.0,5861.0,5861.0,7489.0,6671.0,169.0,1778.0,46089.0
G_12,189.0,212.0,6696.0,2603.0,5090.0,12438.0,4220.0,3478.0,10761.0,12385.0,4239.0,972.0,0.0,3425.0,3395.0,6702.0,5097.0,8310.0,7474.0,1009.0,2600.0,45320.0
G_13,3375.0,3393.0,3402.0,936.0,1789.0,9141.0,953.0,6715.0,7508.0,9116.0,941.0,2574.0,3425.0,0.0,163.0,3419.0,8313.0,5009.0,4231.0,2573.0,957.0,48536.0
G_14,3357.0,3390.0,3442.0,929.0,1824.0,9173.0,1015.0,6645.0,7507.0,9123.0,983.0,2554.0,3395.0,163.0,0.0,3431.0,8290.0,5065.0,4239.0,2579.0,955.0,48479.0
G_15,6637.0,6688.0,122.0,4213.0,1794.0,5839.0,2581.0,9998.0,4175.0,5833.0,2598.0,5861.0,6702.0,3419.0,3431.0,0.0,11594.0,1747.0,970.0,5864.0,4217.0,51827.0
G_16,5009.0,5036.0,11603.0,7462.0,9995.0,17355.0,9162.0,1717.0,15699.0,17294.0,9105.0,5861.0,5097.0,8313.0,8290.0,11594.0,0.0,13234.0,12409.0,5859.0,7514.0,40284.0
G_17,8284.0,8303.0,1758.0,5836.0,3410.0,4202.0,4203.0,11630.0,2592.0,4204.0,4218.0,7489.0,8310.0,5009.0,5065.0,1747.0,13234.0,0.0,963.0,7487.0,5857.0,53453.0
G_18,7464.0,7502.0,958.0,5029.0,2598.0,5070.0,3409.0,10805.0,3422.0,5021.0,3403.0,6671.0,7474.0,4231.0,4239.0,970.0,12409.0,963.0,0.0,6684.0,5038.0,52636.0
G_19,934.0,995.0,5871.0,1750.0,4244.0,11614.0,3422.0,4257.0,9963.0,11552.0,3378.0,169.0,1009.0,2573.0,2579.0,5864.0,5859.0,7487.0,6684.0,0.0,1782.0,46088.0
G_20,2573.0,2616.0,4226.0,116.0,2603.0,9958.0,1794.0,5919.0,8303.0,9920.0,1779.0,1778.0,2600.0,957.0,955.0,4217.0,7514.0,5857.0,5038.0,1782.0,0.0,47758.0
G_21,45270.0,45251.0,51834.0,47700.0,50221.0,57584.0,49407.0,41875.0,55913.0,57515.0,49330.0,46089.0,45320.0,48536.0,48479.0,51827.0,40284.0,53453.0,52636.0,46088.0,47758.0,0.0
