,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_base,0.0,4282.0,4296.0,937.0,928.0,7923.0,879.0,4171.0,4614.0,2637.0,2925.0,4314.0,860.0,2602.0,4613.0,7799.0,7825.0,1074.0,10012.0,8403.0,4547.0,1032.0,4308.0,4608.0,4690.0,4321.0,4122.0,15312.0,4199.0,8132.0,4637.0,6086.0,9622.0,578.0,771.0,4845.0,7841.0,4568.0,2715.0,946.0,7917.0,4475.0,4620.0,9831.0,2970.0,910.0,7846.0,6214.0,7851.0,918.0,4596.0,94888.0
G_1,4282.0,0.0,369.0,4225.0,4236.0,4097.0,4141.0,846.0,8100.0,6356.0,2587.0,404.0,4171.0,2442.0,690.0,4537.0,4405.0,4343.0,13713.0,11712.0,633.0,4364.0,8075.0,583.0,8118.0,528.0,718.0,11393.0,928.0,11972.0,7916.0,2161.0,6305.0,4581.0,4380.0,8147.0,3945.0,7831.0,6287.0,4207.0,4540.0,528.0,662.0,5946.0,6295.0,4210.0,3919.0,2537.0,3972.0,4224.0,732.0,98215.0
G_2,4296.0,369.0,0.0,4269.0,4258.0,4026.0,4215.0,922.0,8138.0,6421.0,2586.0,448.0,4130.0,2325.0,817.0,4541.0,4442.0,4386.0,13649.0,11672.0,651.0,4448.0,8097.0,780.0,8130.0,504.0,692.0,11545.0,1016.0,11911.0,7799.0,2244.0,6414.0,4530.0,4382.0,8100.0,3999.0,7909.0,6242.0,4210.0,4641.0,573.0,830.0,5880.0,6190.0,4300.0,3943.0,2503.0,3924.0,4273.0,697.0,98104.0
G_3,937.0,4225.0,4269.0,0.0,636.0,8044.0,558.0,4535.0,4456.0,2946.0,2574.0,4242.0,661.0,2574.0,4232.0,8307.0,8326.0,654.0,10151.0,8063.0,4273.0,757.0,4555.0,4388.0,4402.0,4253.0,4540.0,15312.0,4739.0,8408.0,4373.0,6037.0,10189.0,1094.0,951.0,4513.0,7832.0,4275.0,2854.0,547.0,8349.0,4077.0,4418.0,9678.0,2715.0,645.0,7719.0,6237.0,7849.0,618.0,4258.0,94464.0
G_4,928.0,4236.0,4258.0,636.0,0.0,8033.0,447.0,4405.0,4163.0,2763.0,2352.0,4242.0,588.0,2481.0,4238.0,8270.0,8320.0,515.0,9832.0,7809.0,4350.0,785.0,4420.0,4313.0,4217.0,4121.0,4506.0,15304.0,4643.0,8072.0,4263.0,6020.0,10122.0,997.0,820.0,4284.0,7867.0,4133.0,2527.0,474.0,8260.0,4145.0,4376.0,9663.0,2523.0,501.0,7737.0,6144.0,7827.0,474.0,4160.0,94282.0
G_5,7923.0,4097.0,4026.0,8044.0,8033.0,0.0,8006.0,4550.0,11885.0,10162.0,6382.0,4166.0,7838.0,6142.0,4562.0,921.0,762.0,8102.0,17465.0,15470.0,4441.0,7953.0,11814.0,4485.0,11941.0,4293.0,4327.0,7930.0,4617.0,15593.0,11632.0,2331.0,2803.0,8068.0,7999.0,11820.0,442.0,11667.0,9862.0,8021.0,1053.0,4367.0,4443.0,2393.0,9993.0,8009.0,480.0,2577.0,447.0,8061.0,4403.0,101791.0
G_6,879.0,4141.0,4215.0,558.0,447.0,8006.0,0.0,4378.0,4172.0,2767.0,2516.0,4192.0,556.0,2481.0,4253.0,8209.0,8306.0,479.0,9925.0,7836.0,4291.0,732.0,4446.0,4217.0,4270.0,4122.0,4473.0,15223.0,4530.0,8216.0,4260.0,5927.0,10048.0,982.0,733.0,4435.0,7829.0,4098.0,2656.0,449.0,8248.0,4173.0,4363.0,9645.0,2618.0,357.0,7702.0,6125.0,7752.0,390.0,4213.0,94453.0
G_7,4171.0,846.0,922.0,4535.0,4405.0,4550.0,4378.0,0.0,8049.0,6271.0,2825.0,832.0,4490.0,2657.0,939.0,4155.0,4335.0,4512.0,13527.0,11853.0,965.0,4556.0,8006.0,966.0,8247.0,674.0,684.0,11786.0,566.0,11751.0,8276.0,2616.0,6018.0,4221.0,4285.0,8396.0,4418.0,8157.0,6336.0,4482.0,4139.0,926.0,996.0,6214.0,6516.0,4457.0,4398.0,2546.0,4348.0,4479.0,976.0,98387.0
G_8,4614.0,8100.0,8138.0,4456.0,4163.0,11885.0,4172.0,8049.0,0.0,2750.0,6154.0,8091.0,4422.0,6289.0,8008.0,11940.0,11988.0,4243.0,6245.0,4191.0,8172.0,4469.0,906.0,8182.0,672.0,7892.0,8269.0,19148.0,8279.0,4478.0,770.0,9868.0,13815.0,4757.0,4479.0,820.0,11721.0,683.0,2630.0,4335.0,11971.0,8017.0,8128.0,13470.0,2558.0,4285.0,11618.0,9993.0,11675.0,4235.0,7915.0,90660.0
G_9,2637.0,6356.0,6421.0,2946.0,2763.0,10162.0,2767.0,6271.0,2750.0,0.0,4691.0,6331.0,2907.0,4590.0,6406.0,10002.0,10061.0,2803.0,8149.0,6601.0,6526.0,2985.0,2539.0,6470.0,2852.0,6237.0,6383.0,17449.0,6358.0,6351.0,2876.0,8074.0,11932.0,2731.0,2848.0,3084.0,9956.0,2823.0,895.0,2829.0,9946.0,6435.0,6585.0,11877.0,1045.0,2802.0,9907.0,8217.0,9928.0,2660.0,6461.0,92886.0
