,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,77.0,51.0,337.0,148.0,85.0,13.0,130.0,91.0,53.0,148.0,73.0,92.0,109.0,41.0,134.0,226.0,97.0,48.0,107.0,75.0,110.0,41.0,244.0,225.0,76.0,146.0,67.0,90.0,9.0,79.0,309.0,230.0,174.0,148.0,34.0,297.0,174.0,190.0,73.0,49.0,1460.0
G_1,77.0,0.0,111.0,398.0,94.0,37.0,71.0,195.0,149.0,40.0,213.0,21.0,41.0,171.0,58.0,194.0,291.0,157.0,115.0,178.0,143.0,177.0,103.0,201.0,177.0,140.0,96.0,123.0,48.0,77.0,142.0,253.0,292.0,234.0,208.0,101.0,235.0,116.0,137.0,129.0,42.0,1400.0
G_2,51.0,111.0,0.0,298.0,193.0,127.0,51.0,94.0,51.0,91.0,109.0,112.0,134.0,71.0,73.0,94.0,189.0,57.0,13.0,75.0,42.0,76.0,41.0,292.0,270.0,39.0,192.0,24.0,139.0,54.0,45.0,349.0,189.0,134.0,108.0,35.0,332.0,210.0,230.0,34.0,92.0,1500.0
G_3,337.0,398.0,298.0,0.0,477.0,416.0,334.0,216.0,260.0,371.0,198.0,396.0,412.0,238.0,355.0,216.0,119.0,250.0,293.0,242.0,290.0,249.0,319.0,565.0,550.0,268.0,481.0,302.0,410.0,339.0,290.0,632.0,123.0,172.0,200.0,313.0,617.0,502.0,509.0,277.0,376.0,1780.0
G_4,148.0,94.0,193.0,477.0,0.0,74.0,153.0,273.0,233.0,114.0,293.0,97.0,75.0,251.0,136.0,271.0,371.0,235.0,189.0,251.0,214.0,253.0,182.0,115.0,96.0,219.0,15.0,203.0,77.0,152.0,214.0,173.0,372.0,313.0,288.0,178.0,158.0,39.0,57.0,214.0,114.0,1320.0
G_5,85.0,37.0,127.0,416.0,74.0,0.0,90.0,208.0,169.0,55.0,227.0,34.0,14.0,187.0,75.0,213.0,306.0,174.0,126.0,187.0,152.0,187.0,116.0,172.0,149.0,155.0,74.0,137.0,20.0,86.0,155.0,230.0,306.0,251.0,227.0,111.0,219.0,94.0,112.0,150.0,49.0,1380.0
G_6,13.0,71.0,51.0,334.0,153.0,90.0,0.0,130.0,87.0,53.0,147.0,73.0,92.0,109.0,34.0,129.0,225.0,90.0,49.0,116.0,79.0,114.0,38.0,251.0,227.0,76.0,153.0,62.0,98.0,13.0,81.0,311.0,229.0,167.0,148.0,36.0,295.0,173.0,189.0,70.0,51.0,1460.0
G_7,130.0,195.0,94.0,216.0,273.0,208.0,130.0,0.0,54.0,168.0,35.0,193.0,214.0,36.0,155.0,15.0,109.0,55.0,91.0,38.0,80.0,38.0,109.0,367.0,343.0,71.0,274.0,107.0,212.0,127.0,84.0,430.0,113.0,56.0,33.0,107.0,414.0,298.0,307.0,77.0,168.0,1580.0
G_8,91.0,149.0,51.0,260.0,233.0,169.0,87.0,54.0,0.0,131.0,69.0,152.0,174.0,29.0,114.0,53.0,149.0,17.0,53.0,39.0,39.0,37.0,76.0,332.0,308.0,37.0,229.0,66.0,177.0,88.0,41.0,392.0,150.0,95.0,68.0,73.0,371.0,253.0,267.0,32.0,131.0,1540.0
G_9,53.0,40.0,91.0,371.0,114.0,55.0,53.0,168.0,131.0,0.0,191.0,41.0,56.0,152.0,35.0,171.0,266.0,132.0,89.0,152.0,116.0,151.0,72.0,211.0,193.0,113.0,121.0,105.0,55.0,53.0,117.0,272.0,270.0,209.0,189.0,73.0,256.0,141.0,153.0,115.0,16.0,1420.0
G_10,148.0,213.0,109.0,198.0,293.0,227.0,147.0,35.0,69.0,191.0,0.0,209.0,234.0,47.0,173.0,32.0,89.0,70.0,109.0,57.0,101.0,59.0,135.0,388.0,368.0,89.0,289.0,123.0,236.0,150.0,107.0,451.0,90.0,32.0,11.0,129.0,432.0,311.0,329.0,91.0,187.0,1600.0
G_11,73.0,21.0,112.0,396.0,97.0,34.0,73.0,193.0,152.0,41.0,209.0,0.0,35.0,172.0,52.0,193.0,288.0,159.0,113.0,175.0,138.0,178.0,103.0,193.0,173.0,135.0,94.0,123.0,40.0,77.0,143.0,257.0,292.0,235.0,212.0,96.0,238.0,120.0,127.0,137.0,37.0,1400.0
G_12,92.0,41.0,134.0,412.0,75.0,14.0,92.0,214.0,174.0,56.0,234.0,35.0,0.0,195.0,74.0,215.0,311.0,178.0,130.0,192.0,154.0,193.0,118.0,172.0,152.0,157.0,80.0,145.0,13.0,92.0,154.0,230.0,311.0,254.0,234.0,119.0,218.0,100.0,109.0,157.0,55.0,1380.0
G_13,109.0,171.0,71.0,238.0,251.0,187.0,109.0,36.0,29.0,152.0,47.0,172.0,195.0,0.0,135.0,35.0,129.0,35.0,71.0,18.0,59.0,17.0,98.0,350.0,331.0,53.0,250.0,79.0,197.0,111.0,65.0,410.0,131.0,73.0,45.0,91.0,391.0,272.0,291.0,48.0,147.0,1560.0
G_14,41.0,58.0,73.0,355.0,136.0,75.0,34.0,155.0,114.0,35.0,173.0,52.0,74.0,135.0,0.0,154.0,253.0,116.0,76.0,142.0,99.0,139.0,60.0,236.0,216.0,99.0,141.0,80.0,83.0,41.0,102.0,296.0,253.0,192.0,172.0,61.0,273.0,157.0,170.0,95.0,42.0,1440.0
G_15,134.0,194.0,94.0,216.0,271.0,213.0,129.0,15.0,53.0,171.0,32.0,193.0,215.0,35.0,154.0,0.0,114.0,50.0,93.0,43.0,81.0,42.0,114.0,368.0,348.0,72.0,273.0,101.0,216.0,133.0,88.0,431.0,112.0,51.0,31.0,112.0,413.0,298.0,306.0,75.0,169.0,1580.0
G_16,226.0,291.0,189.0,119.0,371.0,306.0,225.0,109.0,149.0,266.0,89.0,288.0,311.0,129.0,253.0,114.0,0.0,150.0,185.0,134.0,179.0,137.0,213.0,467.0,445.0,168.0,370.0,204.0,309.0,228.0,183.0,528.0,17.0,75.0,94.0,208.0,514.0,392.0,406.0,173.0,267.0,1680.0
G_17,97.0,157.0,57.0,250.0,235.0,174.0,90.0,55.0,17.0,132.0,70.0,159.0,178.0,35.0,116.0,50.0,150.0,0.0,52.0,43.0,48.0,45.0,78.0,332.0,310.0,33.0,240.0,63.0,179.0,98.0,51.0,395.0,151.0,85.0,73.0,74.0,379.0,258.0,272.0,37.0,134.0,1540.0
G_18,48.0,115.0,13.0,293.0,189.0,126.0,49.0,91.0,53.0,89.0,109.0,113.0,130.0,71.0,76.0,93.0,185.0,52.0,0.0,71.0,39.0,73.0,38.0,288.0,266.0,36.0,193.0,29.0,133.0,50.0,42.0,348.0,188.0,130.0,110.0,34.0,335.0,210.0,229.0,37.0,88.0,1500.0
G_19,107.0,178.0,75.0,242.0,251.0,187.0,116.0,38.0,39.0,152.0,57.0,175.0,192.0,18.0,142.0,43.0,134.0,43.0,71.0,0.0,53.0,14.0,99.0,346.0,326.0,56.0,251.0,92.0,189.0,108.0,58.0,407.0,134.0,81.0,56.0,93.0,393.0,272.0,291.0,60.0,148.0,1560.0
G_20,75.0,143.0,42.0,290.0,214.0,152.0,79.0,80.0,39.0,116.0,101.0,138.0,154.0,59.0,99.0,81.0,179.0,48.0,39.0,53.0,0.0,49.0,56.0,313.0,290.0,29.0,217.0,56.0,154.0,71.0,12.0,370.0,178.0,123.0,95.0,61.0,352.0,237.0,251.0,27.0,111.0,1520.0
G_21,110.0,177.0,76.0,249.0,253.0,187.0,114.0,38.0,37.0,151.0,59.0,178.0,193.0,17.0,139.0,42.0,137.0,45.0,73.0,14.0,49.0,0.0,92.0,349.0,327.0,64.0,254.0,92.0,196.0,105.0,50.0,407.0,137.0,83.0,54.0,98.0,391.0,271.0,290.0,62.0,148.0,1560.0
G_22,41.0,103.0,41.0,319.0,182.0,116.0,38.0,109.0,76.0,72.0,135.0,103.0,118.0,98.0,60.0,114.0,213.0,78.0,38.0,99.0,56.0,92.0,0.0,276.0,252.0,59.0,184.0,50.0,122.0,34.0,62.0,337.0,212.0,154.0,133.0,18.0,317.0,205.0,214.0,65.0,76.0,1480.0
G_23,244.0,201.0,292.0,565.0,115.0,172.0,251.0,367.0,332.0,211.0,388.0,193.0,172.0,350.0,236.0,368.0,467.0,332.0,288.0,346.0,313.0,349.0,276.0,0.0,33.0,307.0,118.0,302.0,167.0,248.0,316.0,76.0,469.0,408.0,388.0,272.0,65.0,107.0,75.0,312.0,209.0,1220.0
G_24,225.0,177.0,270.0,550.0,96.0,149.0,227.0,343.0,308.0,193.0,368.0,173.0,152.0,331.0,216.0,348.0,445.0,310.0,266.0,326.0,290.0,327.0,252.0,33.0,0.0,289.0,99.0,282.0,152.0,224.0,292.0,97.0,445.0,389.0,366.0,249.0,87.0,84.0,56.0,293.0,189.0,1240.0
G_25,76.0,140.0,39.0,268.0,219.0,155.0,76.0,71.0,37.0,113.0,89.0,135.0,157.0,53.0,99.0,72.0,168.0,33.0,36.0,56.0,29.0,64.0,59.0,307.0,289.0,0.0,219.0,46.0,156.0,78.0,34.0,372.0,168.0,108.0,93.0,51.0,357.0,242.0,249.0,18.0,115.0,1520.0
G_26,146.0,96.0,192.0,481.0,15.0,74.0,153.0,274.0,229.0,121.0,289.0,94.0,80.0,250.0,141.0,273.0,370.0,240.0,193.0,251.0,217.0,254.0,184.0,118.0,99.0,219.0,0.0,206.0,83.0,152.0,220.0,181.0,374.0,316.0,291.0,178.0,160.0,45.0,59.0,213.0,113.0,1320.0
G_27,67.0,123.0,24.0,302.0,203.0,137.0,62.0,107.0,66.0,105.0,123.0,123.0,145.0,79.0,80.0,101.0,204.0,63.0,29.0,92.0,56.0,92.0,50.0,302.0,282.0,46.0,206.0,0.0,150.0,69.0,60.0,357.0,202.0,135.0,119.0,46.0,343.0,223.0,239.0,39.0,104.0,1500.0
G_28,90.0,48.0,139.0,410.0,77.0,20.0,98.0,212.0,177.0,55.0,236.0,40.0,13.0,197.0,83.0,216.0,309.0,179.0,133.0,189.0,154.0,196.0,122.0,167.0,152.0,156.0,83.0,150.0,0.0,94.0,155.0,231.0,314.0,255.0,236.0,114.0,221.0,106.0,113.0,158.0,55.0,1380.0
G_29,9.0,77.0,54.0,339.0,152.0,86.0,13.0,127.0,88.0,53.0,150.0,77.0,92.0,111.0,41.0,133.0,228.0,98.0,50.0,108.0,71.0,105.0,34.0,248.0,224.0,78.0,152.0,69.0,94.0,0.0,72.0,309.0,229.0,175.0,148.0,35.0,295.0,176.0,189.0,74.0,48.0,1460.0
G_30,79.0,142.0,45.0,290.0,214.0,155.0,81.0,84.0,41.0,117.0,107.0,143.0,154.0,65.0,102.0,88.0,183.0,51.0,42.0,58.0,12.0,50.0,62.0,316.0,292.0,34.0,220.0,60.0,155.0,72.0,0.0,372.0,182.0,127.0,102.0,66.0,353.0,234.0,255.0,26.0,117.0,1520.0
G_31,309.0,253.0,349.0,632.0,173.0,230.0,311.0,430.0,392.0,272.0,451.0,257.0,230.0,410.0,296.0,431.0,528.0,395.0,348.0,407.0,370.0,407.0,337.0,76.0,97.0,372.0,181.0,357.0,231.0,309.0,372.0,0.0,528.0,470.0,449.0,334.0,43.0,157.0,138.0,372.0,272.0,1160.0
G_32,230.0,292.0,189.0,123.0,372.0,306.0,229.0,113.0,150.0,270.0,90.0,292.0,311.0,131.0,253.0,112.0,17.0,151.0,188.0,134.0,178.0,137.0,212.0,469.0,445.0,168.0,374.0,202.0,314.0,229.0,182.0,528.0,0.0,78.0,94.0,206.0,511.0,391.0,410.0,174.0,268.0,1680.0
G_33,174.0,234.0,134.0,172.0,313.0,251.0,167.0,56.0,95.0,209.0,32.0,235.0,254.0,73.0,192.0,51.0,75.0,85.0,130.0,81.0,123.0,83.0,154.0,408.0,389.0,108.0,316.0,135.0,255.0,175.0,127.0,470.0,78.0,0.0,34.0,150.0,453.0,334.0,351.0,111.0,211.0,1620.0
G_34,148.0,208.0,108.0,200.0,288.0,227.0,148.0,33.0,68.0,189.0,11.0,212.0,234.0,45.0,172.0,31.0,94.0,73.0,110.0,56.0,95.0,54.0,133.0,388.0,366.0,93.0,291.0,119.0,236.0,148.0,102.0,449.0,94.0,34.0,0.0,129.0,427.0,310.0,327.0,87.0,188.0,1600.0
G_35,34.0,101.0,35.0,313.0,178.0,111.0,36.0,107.0,73.0,73.0,129.0,96.0,119.0,91.0,61.0,112.0,208.0,74.0,34.0,93.0,61.0,98.0,18.0,272.0,249.0,51.0,178.0,46.0,114.0,35.0,66.0,334.0,206.0,150.0,129.0,0.0,318.0,200.0,214.0,55.0,71.0,1480.0
G_36,297.0,235.0,332.0,617.0,158.0,219.0,295.0,414.0,371.0,256.0,432.0,238.0,218.0,391.0,273.0,413.0,514.0,379.0,335.0,393.0,352.0,391.0,317.0,65.0,87.0,357.0,160.0,343.0,221.0,295.0,353.0,43.0,511.0,453.0,427.0,318.0,0.0,141.0,120.0,351.0,257.0,1180.0
G_37,174.0,116.0,210.0,502.0,39.0,94.0,173.0,298.0,253.0,141.0,311.0,120.0,100.0,272.0,157.0,298.0,392.0,258.0,210.0,272.0,237.0,271.0,205.0,107.0,84.0,242.0,45.0,223.0,106.0,176.0,234.0,157.0,391.0,334.0,310.0,200.0,141.0,0.0,47.0,233.0,140.0,1300.0
