,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,731.0,40.0,32.0,735.0,7.0,16.0,1444.0,3625.0,737.0,735.0,0.0,737.0,15.0,1482.0,786.0,40.0,755.0,37.0,758.0,15.0,42651.0
G_1,731.0,0.0,771.0,758.0,24.0,738.0,736.0,2173.0,4350.0,42.0,1452.0,731.0,26.0,746.0,2209.0,1500.0,771.0,53.0,768.0,63.0,746.0,43377.0
G_2,40.0,771.0,0.0,67.0,761.0,47.0,53.0,1460.0,3623.0,773.0,757.0,40.0,770.0,47.0,1449.0,759.0,0.0,739.0,73.0,731.0,47.0,42619.0
G_3,32.0,758.0,67.0,0.0,758.0,31.0,46.0,1454.0,3621.0,749.0,752.0,32.0,752.0,21.0,1492.0,812.0,67.0,784.0,43.0,770.0,21.0,42633.0
G_4,735.0,24.0,761.0,758.0,0.0,736.0,746.0,2179.0,4349.0,39.0,1463.0,735.0,38.0,746.0,2202.0,1503.0,761.0,54.0,770.0,54.0,746.0,43368.0
G_5,7.0,738.0,47.0,31.0,736.0,0.0,23.0,1451.0,3630.0,739.0,742.0,7.0,744.0,20.0,1488.0,791.0,47.0,762.0,42.0,765.0,20.0,42646.0
G_6,16.0,736.0,53.0,46.0,746.0,23.0,0.0,1455.0,3624.0,752.0,733.0,16.0,736.0,25.0,1486.0,790.0,53.0,758.0,51.0,771.0,25.0,42652.0
G_7,1444.0,2173.0,1460.0,1454.0,2179.0,1451.0,1455.0,0.0,2186.0,2181.0,733.0,1444.0,2176.0,1444.0,51.0,785.0,1460.0,2175.0,1461.0,2183.0,1444.0,41209.0
G_8,3625.0,4350.0,3623.0,3621.0,4349.0,3630.0,3624.0,2186.0,0.0,4349.0,2901.0,3625.0,4336.0,3610.0,2190.0,2937.0,3623.0,4348.0,3628.0,4336.0,3610.0,39032.0
G_9,737.0,42.0,773.0,749.0,39.0,739.0,752.0,2181.0,4349.0,0.0,1471.0,737.0,37.0,739.0,2216.0,1521.0,773.0,73.0,761.0,58.0,739.0,43371.0
G_10,735.0,1452.0,757.0,752.0,1463.0,742.0,733.0,733.0,2901.0,1471.0,0.0,735.0,1452.0,732.0,772.0,80.0,757.0,1468.0,756.0,1477.0,732.0,41926.0
G_11,0.0,731.0,40.0,32.0,735.0,7.0,16.0,1444.0,3625.0,737.0,735.0,0.0,737.0,15.0,1482.0,786.0,40.0,755.0,37.0,758.0,15.0,42651.0
G_12,737.0,26.0,770.0,752.0,38.0,744.0,736.0,2176.0,4336.0,37.0,1452.0,737.0,0.0,736.0,2209.0,1508.0,770.0,66.0,762.0,54.0,736.0,43363.0
G_13,15.0,746.0,47.0,21.0,746.0,20.0,25.0,1444.0,3610.0,739.0,732.0,15.0,736.0,0.0,1479.0,795.0,47.0,767.0,26.0,749.0,0.0,42636.0
G_14,1482.0,2209.0,1449.0,1492.0,2202.0,1488.0,1486.0,51.0,2190.0,2216.0,772.0,1482.0,2209.0,1479.0,0.0,775.0,1449.0,2179.0,1498.0,2167.0,1479.0,41185.0
G_15,786.0,1500.0,759.0,812.0,1503.0,791.0,790.0,785.0,2937.0,1521.0,80.0,786.0,1508.0,795.0,775.0,0.0,759.0,1460.0,817.0,1484.0,795.0,41933.0
G_16,40.0,771.0,0.0,67.0,761.0,47.0,53.0,1460.0,3623.0,773.0,757.0,40.0,770.0,47.0,1449.0,759.0,0.0,739.0,73.0,731.0,47.0,42619.0
G_17,755.0,53.0,739.0,784.0,54.0,762.0,758.0,2175.0,4348.0,73.0,1468.0,755.0,66.0,767.0,2179.0,1460.0,739.0,0.0,789.0,37.0,767.0,43344.0
G_18,37.0,768.0,73.0,43.0,770.0,42.0,51.0,1461.0,3628.0,761.0,756.0,37.0,762.0,26.0,1498.0,817.0,73.0,789.0,0.0,775.0,26.0,42617.0
G_19,758.0,63.0,731.0,770.0,54.0,765.0,771.0,2183.0,4336.0,58.0,1477.0,758.0,54.0,749.0,2167.0,1484.0,731.0,37.0,775.0,0.0,749.0,43334.0
G_20,15.0,746.0,47.0,21.0,746.0,20.0,25.0,1444.0,3610.0,739.0,732.0,15.0,736.0,0.0,1479.0,795.0,47.0,767.0,26.0,749.0,0.0,42636.0
G_21,42651.0,43377.0,42619.0,42633.0,43368.0,42646.0,42652.0,41209.0,39032.0,43371.0,41926.0,42651.0,43363.0,42636.0,41185.0,41933.0,42619.0,43344.0,42617.0,43334.0,42636.0,0.0
