Precision,Recall,F1-score,SDTED
1.0,1.0,1.0,0.995862629741235
1.0,1.0,1.0,0.9966279236619314
1.0,1.0,1.0,0.9953125747357344
0.9615384615384616,1.0,0.9803921568627451,0.9579447075142297
1.0,1.0,1.0,0.9943081264648204
1.0,1.0,1.0,0.9988042282489118
1.0,1.0,1.0,0.9970344860573014
0.96,0.96,0.96,0.9591643947003397
0.96,0.96,0.96,0.9567608934806524
1.0,0.96,0.9795918367346939,0.957609891423925
1.0,1.0,1.0,0.9774716602094992
0.9615384615384616,1.0,0.9803921568627451,0.9575142296838379
1.0,1.0,1.0,0.9965800927918879
0.9615384615384616,1.0,0.9803921568627451,0.9614961496149614
1.0,1.0,1.0,0.974159372458985
1.0,1.0,1.0,0.9957908834361697
1.0,1.0,1.0,0.9999760845649782
0.96,0.96,0.96,0.9782728272827282
1.0,1.0,1.0,0.9563304156502607
0.96,0.96,0.96,0.9962333189840723
1.0,1.0,1.0,0.9947625197302339
0.9615384615384616,1.0,0.9803921568627451,0.9596905342708184
1.0,0.96,0.9795918367346939,0.9605873630841345
0.9615384615384616,1.0,0.9803921568627451,0.9614961496149614
1.0,1.0,1.0,0.9964126847467355
1.0,1.0,1.0,0.9968312048596164
1.0,1.0,1.0,0.9959822069163438
1.0,1.0,1.0,0.9767183240063136
0.96,0.96,0.96,0.9782728272827282
1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9762519730233893
0.96,0.96,0.96,0.9397091883101354
1.0,1.0,1.0,0.999497775864543
1.0,1.0,1.0,0.9999760845649782
1.0,1.0,1.0,0.9950136317979624
1.0,1.0,1.0,0.9768020280288898
1.0,1.0,1.0,0.9950136317979624
1.0,1.0,1.0,0.9961496149614961
1.0,1.0,1.0,0.9966279236619314
1.0,1.0,1.0,0.9938059023293634
1.0,1.0,1.0,0.9733821208207777
1.0,1.0,1.0,0.9960898263739417
1.0,1.0,1.0,0.9760367341081935
0.96,0.96,0.96,0.9999521691299564
1.0,1.0,1.0,0.9960061223513655
1.0,1.0,1.0,0.9921916104653944
1.0,1.0,1.0,0.9994021141244559
0.96,0.96,0.96,0.9999521691299564
1.0,1.0,1.0,0.9766944085712919
0.9615384615384616,1.0,0.9803921568627451,0.9596187879657531
