,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_1,21.0,0.0,49.0,41.0,21.0,40.0,41.0,40.0,2.0,41.0,40.0,21.0,49.0,41.0,3.0,41.0,41.0,2.0,41.0,40.0,22.0,21.0,22.0,41.0,2.0,41.0,21.0,41.0,40.0,21.0,41.0,0.0,22.0,22.0,21.0,21.0,1.0,23.0,122.0,42.0,2.0,1440.0
G_2,29.0,49.0,0.0,11.0,29.0,9.0,10.0,9.0,49.0,11.0,9.0,29.0,0.0,10.0,48.0,11.0,10.0,49.0,11.0,9.0,30.0,29.0,69.0,10.0,49.0,10.0,29.0,9.0,9.0,29.0,10.0,49.0,30.0,69.0,29.0,29.0,49.0,28.0,167.0,89.0,49.0,1480.0
G_3,20.0,41.0,11.0,0.0,20.0,2.0,2.0,2.0,40.0,0.0,2.0,20.0,11.0,2.0,40.0,1.0,2.0,40.0,1.0,2.0,21.0,20.0,60.0,2.0,41.0,2.0,20.0,2.0,2.0,20.0,2.0,41.0,21.0,60.0,20.0,20.0,40.0,22.0,160.0,80.0,40.0,1480.0
G_4,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_5,20.0,40.0,9.0,2.0,20.0,0.0,1.0,0.0,40.0,2.0,0.0,20.0,9.0,1.0,40.0,2.0,1.0,40.0,2.0,0.0,21.0,20.0,60.0,1.0,40.0,1.0,20.0,1.0,0.0,20.0,1.0,40.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_6,20.0,41.0,10.0,2.0,20.0,1.0,0.0,1.0,40.0,2.0,1.0,20.0,10.0,1.0,40.0,2.0,1.0,40.0,2.0,1.0,21.0,20.0,60.0,0.0,41.0,1.0,20.0,1.0,1.0,20.0,1.0,41.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_7,20.0,40.0,9.0,2.0,20.0,0.0,1.0,0.0,40.0,2.0,0.0,20.0,9.0,1.0,40.0,2.0,1.0,40.0,2.0,0.0,21.0,20.0,60.0,1.0,40.0,1.0,20.0,1.0,0.0,20.0,1.0,40.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_8,20.0,2.0,49.0,40.0,20.0,40.0,40.0,40.0,0.0,40.0,40.0,20.0,49.0,40.0,2.0,40.0,40.0,0.0,40.0,40.0,20.0,20.0,21.0,40.0,2.0,40.0,20.0,40.0,40.0,20.0,40.0,2.0,21.0,21.0,20.0,20.0,1.0,22.0,120.0,40.0,1.0,1440.0
G_9,20.0,41.0,11.0,0.0,20.0,2.0,2.0,2.0,40.0,0.0,2.0,20.0,11.0,2.0,40.0,1.0,2.0,40.0,1.0,2.0,21.0,20.0,60.0,2.0,41.0,2.0,20.0,2.0,2.0,20.0,2.0,41.0,21.0,60.0,20.0,20.0,40.0,22.0,160.0,80.0,40.0,1480.0
G_10,20.0,40.0,9.0,2.0,20.0,0.0,1.0,0.0,40.0,2.0,0.0,20.0,9.0,1.0,40.0,2.0,1.0,40.0,2.0,0.0,21.0,20.0,60.0,1.0,40.0,1.0,20.0,1.0,0.0,20.0,1.0,40.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_11,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_12,29.0,49.0,0.0,11.0,29.0,9.0,10.0,9.0,49.0,11.0,9.0,29.0,0.0,10.0,48.0,11.0,10.0,49.0,11.0,9.0,30.0,29.0,69.0,10.0,49.0,10.0,29.0,9.0,9.0,29.0,10.0,49.0,30.0,69.0,29.0,29.0,49.0,28.0,167.0,89.0,49.0,1480.0
G_13,20.0,41.0,10.0,2.0,20.0,1.0,1.0,1.0,40.0,2.0,1.0,20.0,10.0,0.0,40.0,2.0,1.0,40.0,2.0,1.0,21.0,20.0,60.0,1.0,41.0,1.0,20.0,1.0,1.0,20.0,1.0,41.0,20.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_14,20.0,3.0,48.0,40.0,20.0,40.0,40.0,40.0,2.0,40.0,40.0,20.0,48.0,40.0,0.0,40.0,40.0,2.0,40.0,40.0,21.0,20.0,22.0,40.0,3.0,40.0,20.0,40.0,40.0,20.0,40.0,3.0,21.0,22.0,20.0,20.0,2.0,21.0,122.0,42.0,2.0,1440.0
G_15,20.0,41.0,11.0,1.0,20.0,2.0,2.0,2.0,40.0,1.0,2.0,20.0,11.0,2.0,40.0,0.0,2.0,40.0,1.0,2.0,21.0,20.0,60.0,2.0,41.0,2.0,20.0,2.0,2.0,20.0,2.0,41.0,21.0,60.0,20.0,20.0,40.0,22.0,160.0,80.0,40.0,1480.0
G_16,20.0,41.0,10.0,2.0,20.0,1.0,1.0,1.0,40.0,2.0,1.0,20.0,10.0,1.0,40.0,2.0,0.0,40.0,2.0,1.0,21.0,20.0,60.0,1.0,41.0,1.0,20.0,1.0,1.0,20.0,1.0,41.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_17,20.0,2.0,49.0,40.0,20.0,40.0,40.0,40.0,0.0,40.0,40.0,20.0,49.0,40.0,2.0,40.0,40.0,0.0,40.0,40.0,20.0,20.0,21.0,40.0,2.0,40.0,20.0,40.0,40.0,20.0,40.0,2.0,21.0,21.0,20.0,20.0,1.0,22.0,120.0,40.0,1.0,1440.0
G_18,20.0,41.0,11.0,1.0,20.0,2.0,2.0,2.0,40.0,1.0,2.0,20.0,11.0,2.0,40.0,1.0,2.0,40.0,0.0,2.0,21.0,20.0,60.0,2.0,41.0,2.0,20.0,2.0,2.0,20.0,2.0,41.0,21.0,60.0,20.0,20.0,40.0,22.0,160.0,80.0,40.0,1480.0
G_19,20.0,40.0,9.0,2.0,20.0,0.0,1.0,0.0,40.0,2.0,0.0,20.0,9.0,1.0,40.0,2.0,1.0,40.0,2.0,0.0,21.0,20.0,60.0,1.0,40.0,1.0,20.0,1.0,0.0,20.0,1.0,40.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_20,1.0,22.0,30.0,21.0,1.0,21.0,21.0,21.0,20.0,21.0,21.0,1.0,30.0,21.0,21.0,21.0,21.0,20.0,21.0,21.0,0.0,1.0,41.0,21.0,22.0,21.0,1.0,21.0,21.0,1.0,21.0,22.0,2.0,41.0,1.0,1.0,21.0,2.0,140.0,60.0,21.0,1460.0
G_21,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_22,40.0,22.0,69.0,60.0,40.0,60.0,60.0,60.0,21.0,60.0,60.0,40.0,69.0,60.0,22.0,60.0,60.0,21.0,60.0,60.0,41.0,40.0,0.0,60.0,22.0,60.0,40.0,60.0,60.0,40.0,60.0,22.0,41.0,0.0,40.0,40.0,21.0,42.0,102.0,22.0,21.0,1420.0
