,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_23,20.0,41.0,10.0,2.0,20.0,1.0,0.0,1.0,40.0,2.0,1.0,20.0,10.0,1.0,40.0,2.0,1.0,40.0,2.0,1.0,21.0,20.0,60.0,0.0,41.0,1.0,20.0,1.0,1.0,20.0,1.0,41.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_24,21.0,2.0,49.0,41.0,21.0,40.0,41.0,40.0,2.0,41.0,40.0,21.0,49.0,41.0,3.0,41.0,41.0,2.0,41.0,40.0,22.0,21.0,22.0,41.0,0.0,41.0,21.0,41.0,40.0,21.0,41.0,2.0,22.0,22.0,21.0,21.0,2.0,23.0,122.0,42.0,2.0,1440.0
G_25,20.0,41.0,10.0,2.0,20.0,1.0,1.0,1.0,40.0,2.0,1.0,20.0,10.0,1.0,40.0,2.0,1.0,40.0,2.0,1.0,21.0,20.0,60.0,1.0,41.0,0.0,20.0,1.0,1.0,20.0,1.0,41.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_26,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_27,20.0,41.0,9.0,2.0,20.0,1.0,1.0,1.0,40.0,2.0,1.0,20.0,9.0,1.0,40.0,2.0,1.0,40.0,2.0,1.0,21.0,20.0,60.0,1.0,41.0,1.0,20.0,0.0,1.0,20.0,1.0,41.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_28,20.0,40.0,9.0,2.0,20.0,0.0,1.0,0.0,40.0,2.0,0.0,20.0,9.0,1.0,40.0,2.0,1.0,40.0,2.0,0.0,21.0,20.0,60.0,1.0,40.0,1.0,20.0,1.0,0.0,20.0,1.0,40.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_29,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_30,20.0,41.0,10.0,2.0,20.0,1.0,1.0,1.0,40.0,2.0,1.0,20.0,10.0,1.0,40.0,2.0,1.0,40.0,2.0,1.0,21.0,20.0,60.0,1.0,41.0,1.0,20.0,1.0,1.0,20.0,0.0,41.0,21.0,60.0,20.0,20.0,40.0,21.0,160.0,80.0,40.0,1480.0
G_31,21.0,0.0,49.0,41.0,21.0,40.0,41.0,40.0,2.0,41.0,40.0,21.0,49.0,41.0,3.0,41.0,41.0,2.0,41.0,40.0,22.0,21.0,22.0,41.0,2.0,41.0,21.0,41.0,40.0,21.0,41.0,0.0,22.0,22.0,21.0,21.0,1.0,23.0,122.0,42.0,2.0,1440.0
G_32,1.0,22.0,30.0,21.0,1.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,30.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,2.0,1.0,41.0,21.0,22.0,21.0,1.0,21.0,21.0,1.0,21.0,22.0,0.0,41.0,1.0,1.0,21.0,3.0,140.0,61.0,21.0,1460.0
G_33,40.0,22.0,69.0,60.0,40.0,60.0,60.0,60.0,21.0,60.0,60.0,40.0,69.0,60.0,22.0,60.0,60.0,21.0,60.0,60.0,41.0,40.0,0.0,60.0,22.0,60.0,40.0,60.0,60.0,40.0,60.0,22.0,41.0,0.0,40.0,40.0,21.0,42.0,102.0,22.0,21.0,1420.0
G_34,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_35,0.0,21.0,29.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,0.0,40.0,20.0,21.0,20.0,0.0,20.0,20.0,0.0,20.0,21.0,1.0,40.0,0.0,0.0,20.0,2.0,140.0,60.0,20.0,1460.0
G_36,20.0,1.0,49.0,40.0,20.0,40.0,40.0,40.0,1.0,40.0,40.0,20.0,49.0,40.0,2.0,40.0,40.0,1.0,40.0,40.0,21.0,20.0,21.0,40.0,2.0,40.0,20.0,40.0,40.0,20.0,40.0,1.0,21.0,21.0,20.0,20.0,0.0,22.0,121.0,41.0,1.0,1440.0
G_37,2.0,23.0,28.0,22.0,2.0,21.0,21.0,21.0,22.0,22.0,21.0,2.0,28.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,2.0,2.0,42.0,21.0,23.0,21.0,2.0,21.0,21.0,2.0,21.0,23.0,3.0,42.0,2.0,2.0,22.0,0.0,142.0,62.0,22.0,1460.0
G_38,140.0,122.0,167.0,160.0,140.0,160.0,160.0,160.0,120.0,160.0,160.0,140.0,167.0,160.0,122.0,160.0,160.0,120.0,160.0,160.0,140.0,140.0,102.0,160.0,122.0,160.0,140.0,160.0,160.0,140.0,160.0,122.0,140.0,102.0,140.0,140.0,121.0,142.0,0.0,82.0,120.0,1320.0
G_39,60.0,42.0,89.0,80.0,60.0,80.0,80.0,80.0,40.0,80.0,80.0,60.0,89.0,80.0,42.0,80.0,80.0,40.0,80.0,80.0,60.0,60.0,22.0,80.0,42.0,80.0,60.0,80.0,80.0,60.0,80.0,42.0,61.0,22.0,60.0,60.0,41.0,62.0,82.0,0.0,41.0,1400.0
G_40,20.0,2.0,49.0,40.0,20.0,40.0,40.0,40.0,1.0,40.0,40.0,20.0,49.0,40.0,2.0,40.0,40.0,1.0,40.0,40.0,21.0,20.0,21.0,40.0,2.0,40.0,20.0,40.0,40.0,20.0,40.0,2.0,21.0,21.0,20.0,20.0,1.0,22.0,120.0,41.0,0.0,1440.0
G_41,1460.0,1440.0,1480.0,1480.0,1460.0,1480.0,1480.0,1480.0,1440.0,1480.0,1480.0,1460.0,1480.0,1480.0,1440.0,1480.0,1480.0,1440.0,1480.0,1480.0,1460.0,1460.0,1420.0,1480.0,1440.0,1480.0,1460.0,1480.0,1480.0,1460.0,1480.0,1440.0,1460.0,1420.0,1460.0,1460.0,1440.0,1460.0,1320.0,1400.0,1440.0,0.0
