,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,891.0,3336.0,2535.0,974.0,3331.0,8162.0,4972.0,12238.0,2527.0,3325.0,2519.0,4142.0,4156.0,3333.0,3379.0,7428.0,2503.0,1696.0,125.0,9836.0,45544.0
G_1,891.0,0.0,4110.0,1719.0,1732.0,2528.0,7368.0,5748.0,11439.0,1708.0,2516.0,1704.0,4918.0,3384.0,2583.0,2554.0,6635.0,1704.0,905.0,881.0,9018.0,46292.0
G_2,3336.0,4110.0,0.0,5719.0,2522.0,6567.0,11415.0,1719.0,15480.0,5733.0,6565.0,5740.0,901.0,7402.0,6615.0,6599.0,10694.0,5707.0,4945.0,3295.0,13067.0,42272.0
G_3,2535.0,1719.0,5719.0,0.0,3303.0,967.0,5806.0,7338.0,9844.0,147.0,950.0,122.0,6539.0,1806.0,997.0,974.0,5070.0,77.0,945.0,2525.0,7440.0,47851.0
G_4,974.0,1732.0,2522.0,3303.0,0.0,4191.0,9015.0,4161.0,13093.0,3365.0,4180.0,3335.0,3339.0,5021.0,4231.0,4209.0,8300.0,3304.0,2546.0,920.0,10679.0,44680.0
G_5,3331.0,2528.0,6567.0,967.0,4191.0,0.0,4947.0,8211.0,9029.0,936.0,149.0,926.0,7364.0,952.0,152.0,175.0,4207.0,966.0,1730.0,3334.0,6600.0,48753.0
G_6,8162.0,7368.0,11415.0,5806.0,9015.0,4947.0,0.0,13048.0,4189.0,5758.0,4948.0,5758.0,12205.0,4124.0,4929.0,4967.0,948.0,5793.0,6553.0,8181.0,1765.0,53585.0
G_7,4972.0,5748.0,1719.0,7338.0,4161.0,8211.0,13048.0,0.0,17092.0,7383.0,8190.0,7360.0,943.0,9041.0,8224.0,8198.0,12318.0,7329.0,6552.0,4925.0,14667.0,40658.0
G_8,12238.0,11439.0,15480.0,9844.0,13093.0,9029.0,4189.0,17092.0,0.0,9803.0,9012.0,9821.0,16306.0,8205.0,9001.0,8992.0,4955.0,9835.0,10638.0,12270.0,2537.0,57646.0
G_9,2527.0,1708.0,5733.0,147.0,3365.0,936.0,5758.0,7383.0,9803.0,0.0,923.0,97.0,6572.0,1751.0,959.0,945.0,5016.0,143.0,924.0,2537.0,7404.0,47937.0
G_10,3325.0,2516.0,6565.0,950.0,4180.0,149.0,4948.0,8190.0,9012.0,923.0,0.0,927.0,7365.0,974.0,149.0,142.0,4226.0,938.0,1751.0,3341.0,6593.0,48748.0
G_11,2519.0,1704.0,5740.0,122.0,3335.0,926.0,5758.0,7360.0,9821.0,97.0,927.0,0.0,6556.0,1744.0,959.0,939.0,5020.0,128.0,903.0,2523.0,7404.0,47918.0
G_12,4142.0,4918.0,901.0,6539.0,3339.0,7364.0,12205.0,943.0,16306.0,6572.0,7365.0,6556.0,0.0,8205.0,7415.0,7402.0,11487.0,6517.0,5730.0,4101.0,13878.0,41482.0
G_13,4156.0,3384.0,7402.0,1806.0,5021.0,952.0,4124.0,9041.0,8205.0,1751.0,974.0,1744.0,8205.0,0.0,954.0,967.0,3411.0,1790.0,2554.0,4201.0,5809.0,49602.0
G_14,3333.0,2583.0,6615.0,997.0,4231.0,152.0,4929.0,8224.0,9001.0,959.0,149.0,959.0,7415.0,954.0,0.0,145.0,4218.0,987.0,1770.0,3400.0,6583.0,48806.0
G_15,3379.0,2554.0,6599.0,974.0,4209.0,175.0,4967.0,8198.0,8992.0,945.0,142.0,939.0,7402.0,967.0,145.0,0.0,4223.0,982.0,1759.0,3378.0,6575.0,48767.0
G_16,7428.0,6635.0,10694.0,5070.0,8300.0,4207.0,948.0,12318.0,4955.0,5016.0,4226.0,5020.0,11487.0,3411.0,4218.0,4223.0,0.0,5063.0,5811.0,7472.0,2561.0,52870.0
G_17,2503.0,1704.0,5707.0,77.0,3304.0,966.0,5793.0,7329.0,9835.0,143.0,938.0,128.0,6517.0,1790.0,987.0,982.0,5063.0,0.0,911.0,2500.0,7445.0,47846.0
G_18,1696.0,905.0,4945.0,945.0,2546.0,1730.0,6553.0,6552.0,10638.0,924.0,1751.0,903.0,5730.0,2554.0,1770.0,1759.0,5811.0,911.0,0.0,1705.0,8219.0,47104.0
G_19,125.0,881.0,3295.0,2525.0,920.0,3334.0,8181.0,4925.0,12270.0,2537.0,3341.0,2523.0,4101.0,4201.0,3400.0,3378.0,7472.0,2500.0,1705.0,0.0,9839.0,45457.0
G_20,9836.0,9018.0,13067.0,7440.0,10679.0,6600.0,1765.0,14667.0,2537.0,7404.0,6593.0,7404.0,13878.0,5809.0,6583.0,6575.0,2561.0,7445.0,8219.0,9839.0,0.0,55244.0
G_21,45544.0,46292.0,42272.0,47851.0,44680.0,48753.0,53585.0,40658.0,57646.0,47937.0,48748.0,47918.0,41482.0,49602.0,48806.0,48767.0,52870.0,47846.0,47104.0,45457.0,55244.0,0.0
