,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_29,50.0,72.0,134.0,50.0,32.0,56.0,31.0,105.0,172.0,224.0,130.0,72.0,38.0,184.0,85.0,129.0,345.0,165.0,34.0,18.0,135.0,175.0,111.0,175.0,56.0,267.0,73.0,213.0,168.0,0.0,210.0,52.0,74.0,78.0,33.0,48.0,86.0,174.0,146.0,288.0,51.0,1500.0
G_30,164.0,268.0,91.0,174.0,225.0,167.0,228.0,111.0,55.0,36.0,99.0,148.0,225.0,38.0,129.0,92.0,152.0,367.0,188.0,204.0,333.0,56.0,305.0,370.0,170.0,71.0,145.0,409.0,53.0,210.0,0.0,168.0,146.0,275.0,185.0,248.0,129.0,54.0,77.0,94.0,165.0,1300.0
G_31,13.0,107.0,88.0,15.0,71.0,13.0,68.0,71.0,125.0,186.0,88.0,33.0,68.0,149.0,49.0,90.0,304.0,206.0,32.0,53.0,174.0,131.0,144.0,214.0,12.0,223.0,32.0,252.0,122.0,52.0,168.0,0.0,31.0,116.0,31.0,88.0,50.0,132.0,107.0,246.0,15.0,1460.0
G_32,29.0,130.0,74.0,36.0,87.0,36.0,88.0,55.0,111.0,169.0,77.0,15.0,90.0,132.0,32.0,72.0,289.0,227.0,52.0,71.0,192.0,116.0,168.0,235.0,34.0,207.0,14.0,270.0,111.0,74.0,146.0,31.0,0.0,138.0,53.0,112.0,32.0,114.0,92.0,232.0,33.0,1440.0
G_33,118.0,20.0,201.0,112.0,60.0,121.0,58.0,177.0,236.0,293.0,195.0,137.0,63.0,253.0,155.0,195.0,404.0,112.0,101.0,84.0,70.0,237.0,62.0,113.0,118.0,330.0,142.0,151.0,234.0,78.0,275.0,116.0,138.0,0.0,95.0,36.0,154.0,238.0,216.0,351.0,113.0,1560.0
G_34,30.0,86.0,114.0,34.0,51.0,36.0,49.0,90.0,152.0,205.0,111.0,51.0,55.0,169.0,68.0,113.0,326.0,186.0,14.0,33.0,150.0,155.0,129.0,189.0,34.0,248.0,51.0,230.0,150.0,33.0,185.0,31.0,53.0,95.0,0.0,66.0,68.0,153.0,133.0,269.0,27.0,1480.0
G_35,88.0,30.0,171.0,89.0,31.0,92.0,27.0,148.0,208.0,265.0,169.0,110.0,37.0,225.0,125.0,168.0,384.0,124.0,69.0,53.0,93.0,211.0,68.0,133.0,91.0,306.0,110.0,171.0,205.0,48.0,248.0,88.0,112.0,36.0,66.0,0.0,127.0,208.0,189.0,326.0,87.0,1540.0
G_36,48.0,146.0,57.0,52.0,107.0,56.0,106.0,29.0,93.0,149.0,52.0,31.0,112.0,107.0,10.0,51.0,266.0,244.0,67.0,91.0,211.0,92.0,188.0,253.0,52.0,188.0,33.0,288.0,92.0,86.0,129.0,50.0,32.0,154.0,68.0,127.0,0.0,94.0,69.0,210.0,49.0,1420.0
G_37,126.0,229.0,51.0,140.0,185.0,130.0,186.0,74.0,13.0,77.0,58.0,111.0,187.0,37.0,92.0,53.0,191.0,326.0,149.0,166.0,293.0,16.0,266.0,333.0,130.0,108.0,114.0,367.0,16.0,174.0,54.0,132.0,114.0,238.0,153.0,208.0,94.0,0.0,38.0,130.0,134.0,1340.0
G_38,109.0,209.0,37.0,111.0,167.0,108.0,167.0,49.0,36.0,89.0,37.0,93.0,167.0,52.0,71.0,32.0,206.0,305.0,130.0,153.0,274.0,34.0,246.0,316.0,112.0,129.0,92.0,350.0,31.0,146.0,77.0,107.0,92.0,216.0,133.0,189.0,69.0,38.0,0.0,151.0,116.0,1360.0
G_39,244.0,347.0,167.0,245.0,303.0,246.0,304.0,190.0,131.0,72.0,171.0,227.0,305.0,110.0,205.0,171.0,71.0,443.0,273.0,291.0,410.0,134.0,384.0,449.0,248.0,28.0,228.0,489.0,128.0,288.0,94.0,246.0,232.0,351.0,269.0,326.0,210.0,130.0,151.0,0.0,251.0,1220.0
G_40,11.0,108.0,97.0,15.0,70.0,19.0,70.0,72.0,135.0,188.0,94.0,32.0,77.0,150.0,50.0,96.0,308.0,205.0,34.0,52.0,171.0,137.0,149.0,209.0,15.0,230.0,35.0,249.0,134.0,51.0,165.0,15.0,33.0,113.0,27.0,87.0,49.0,134.0,116.0,251.0,0.0,1460.0
G_41,1460.0,1560.0,1380.0,1460.0,1520.0,1460.0,1520.0,1400.0,1340.0,1280.0,1380.0,1440.0,1520.0,1320.0,1420.0,1380.0,1160.0,1660.0,1480.0,1500.0,1620.0,1340.0,1600.0,1660.0,1460.0,1240.0,1440.0,1700.0,1340.0,1500.0,1300.0,1460.0,1440.0,1560.0,1480.0,1540.0,1420.0,1340.0,1360.0,1220.0,1460.0,0.0
