,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_base,0.0,9609.0,5239.0,5184.0,11989.0,11847.0,20219.0,5409.0,1496.0,5368.0,5365.0,5296.0,5285.0,3334.0,18081.0,26447.0,14143.0,5451.0,18174.0,5291.0,5265.0,18097.0,11652.0,5107.0,14176.0,13636.0,15984.0,3026.0,7412.0,9497.0,1308.0,11724.0,5339.0,5480.0,9911.0,1123.0,7376.0,9709.0,5074.0,5220.0,961.0,9658.0,9909.0,5399.0,5503.0,9652.0,14198.0,5251.0,5399.0,5210.0,5355.0,109669.0
G_1,9609.0,0.0,13671.0,13762.0,3550.0,3182.0,28668.0,13976.0,9857.0,5441.0,13970.0,13664.0,13814.0,7461.0,26783.0,35145.0,5501.0,13918.0,26878.0,13579.0,13754.0,26880.0,20309.0,13659.0,5517.0,22268.0,24623.0,11622.0,3243.0,18166.0,9963.0,20379.0,13859.0,5332.0,1206.0,9577.0,15981.0,1003.0,13761.0,13680.0,9359.0,1076.0,1236.0,13971.0,13829.0,18344.0,22820.0,5345.0,5065.0,5359.0,13936.0,100931.0
G_2,5239.0,13671.0,0.0,944.0,15877.0,15761.0,15848.0,1060.0,5411.0,9416.0,859.0,773.0,717.0,7119.0,13867.0,22215.0,17870.0,882.0,14064.0,662.0,849.0,13849.0,7473.0,706.0,17947.0,9369.0,11782.0,3065.0,11467.0,5408.0,5468.0,7502.0,780.0,9566.0,13587.0,5204.0,2884.0,13553.0,795.0,849.0,4841.0,13608.0,13621.0,936.0,1157.0,5362.0,9899.0,9651.0,9316.0,9288.0,1029.0,113339.0
G_3,5184.0,13762.0,944.0,0.0,16231.0,16041.0,15779.0,993.0,5352.0,9621.0,1125.0,827.0,1021.0,7596.0,13812.0,22039.0,18401.0,1256.0,13822.0,858.0,1056.0,13844.0,7267.0,769.0,18337.0,9376.0,11423.0,3018.0,11496.0,5110.0,5664.0,7353.0,896.0,9665.0,14086.0,5381.0,3080.0,13870.0,917.0,724.0,5148.0,13808.0,13969.0,966.0,1104.0,5378.0,9851.0,9570.0,9381.0,9420.0,1056.0,113815.0
G_4,11989.0,3550.0,15877.0,16231.0,0.0,985.0,31013.0,16287.0,12332.0,7425.0,15843.0,15914.0,15971.0,9526.0,29180.0,37424.0,3100.0,16087.0,29184.0,15744.0,16090.0,29072.0,22648.0,15886.0,3071.0,24643.0,26959.0,14002.0,5167.0,20466.0,12068.0,22676.0,15929.0,7768.0,3035.0,11836.0,17906.0,3297.0,16015.0,15920.0,11655.0,3123.0,3058.0,16217.0,16300.0,20489.0,24937.0,7767.0,7595.0,7539.0,16131.0,98354.0
G_5,11847.0,3182.0,15761.0,16041.0,985.0,0.0,30921.0,16078.0,12133.0,7344.0,16046.0,15823.0,15825.0,9496.0,28991.0,37300.0,3008.0,15907.0,29117.0,15622.0,15911.0,29164.0,22537.0,15703.0,2865.0,24438.0,26820.0,13817.0,5134.0,20358.0,12085.0,22454.0,15849.0,7465.0,2950.0,11804.0,18029.0,2941.0,15822.0,15708.0,11403.0,2945.0,3078.0,16027.0,16227.0,20545.0,25074.0,7533.0,7091.0,7401.0,16102.0,98314.0
G_6,20219.0,28668.0,15848.0,15779.0,31013.0,30921.0,0.0,15960.0,20260.0,24541.0,15958.0,15702.0,15803.0,22347.0,3317.0,7169.0,33153.0,15987.0,3335.0,15697.0,15804.0,3354.0,9410.0,15791.0,33157.0,7431.0,5308.0,17870.0,26534.0,11594.0,20425.0,9423.0,15785.0,24463.0,28897.0,20138.0,13712.0,28841.0,15846.0,15733.0,20095.0,28773.0,28717.0,15929.0,15888.0,11682.0,7706.0,24481.0,24361.0,24405.0,15854.0,128509.0
G_7,5409.0,13976.0,1060.0,993.0,16287.0,16078.0,15960.0,0.0,5418.0,9613.0,1328.0,1136.0,1037.0,7621.0,13879.0,22200.0,18428.0,1334.0,13886.0,1091.0,1185.0,14047.0,7529.0,955.0,18379.0,9614.0,11464.0,3107.0,11691.0,5400.0,5711.0,7230.0,1078.0,9669.0,14139.0,5513.0,3330.0,13991.0,950.0,854.0,5229.0,13858.0,14056.0,975.0,1209.0,5604.0,9973.0,9662.0,9717.0,9501.0,1130.0,113923.0
G_8,1496.0,9857.0,5411.0,5352.0,12332.0,12133.0,20260.0,5418.0,0.0,5774.0,5674.0,5352.0,5532.0,3614.0,18190.0,26577.0,14335.0,5705.0,18388.0,5328.0,5642.0,18390.0,11941.0,5282.0,14296.0,13881.0,16059.0,3403.0,7778.0,9762.0,1722.0,11904.0,5525.0,5794.0,10036.0,1641.0,7682.0,9948.0,5450.0,5391.0,1324.0,9849.0,10030.0,5430.0,5599.0,9841.0,14292.0,5686.0,5464.0,5721.0,5461.0,109732.0
G_9,5368.0,5441.0,9416.0,9621.0,7425.0,7344.0,24541.0,9613.0,5774.0,0.0,9571.0,9484.0,9510.0,3206.0,22517.0,30872.0,9603.0,9555.0,22630.0,9372.0,9555.0,22559.0,16128.0,9356.0,9577.0,18026.0,20327.0,7424.0,3177.0,13910.0,5616.0,15997.0,9419.0,1217.0,5382.0,5374.0,11596.0,5321.0,9409.0,9382.0,5115.0,5257.0,5361.0,9587.0,9747.0,14008.0,18586.0,1316.0,1195.0,1000.0,9630.0,105074.0
G_10,5365.0,13970.0,859.0,1125.0,15843.0,16046.0,15958.0,1328.0,5674.0,9571.0,0.0,977.0,1028.0,7268.0,13962.0,22270.0,17857.0,1027.0,14063.0,951.0,1100.0,13713.0,7542.0,978.0,18147.0,9491.0,11814.0,3288.0,11573.0,5414.0,5521.0,7591.0,851.0,9842.0,13709.0,5271.0,2702.0,13943.0,916.0,989.0,5079.0,13775.0,13841.0,1195.0,1251.0,5291.0,9817.0,9909.0,9714.0,9442.0,1034.0,113495.0
G_11,5296.0,13664.0,773.0,827.0,15914.0,15823.0,15702.0,1136.0,5352.0,9484.0,977.0,0.0,995.0,7358.0,13933.0,22069.0,18070.0,1080.0,14023.0,632.0,998.0,13952.0,7446.0,734.0,18049.0,9365.0,11657.0,3097.0,11325.0,5127.0,5475.0,7492.0,860.0,9614.0,13723.0,5270.0,2949.0,13549.0,942.0,719.0,4972.0,13699.0,13588.0,949.0,1277.0,5403.0,10025.0,9659.0,9231.0,9357.0,1024.0,113399.0
G_12,5285.0,13814.0,717.0,1021.0,15971.0,15825.0,15803.0,1037.0,5532.0,9510.0,1028.0,995.0,0.0,7218.0,13839.0,22228.0,18062.0,900.0,13973.0,866.0,875.0,13891.0,7376.0,804.0,18046.0,9532.0,11762.0,3061.0,11446.0,5333.0,5527.0,7416.0,874.0,9533.0,13842.0,5186.0,3106.0,13837.0,716.0,874.0,4975.0,13762.0,13767.0,1062.0,1059.0,5384.0,9807.0,9518.0,9492.0,9331.0,975.0,113662.0
G_13,3334.0,7461.0,7119.0,7596.0,9526.0,9496.0,22347.0,7621.0,3614.0,3206.0,7268.0,7358.0,7218.0,0.0,20326.0,28792.0,11600.0,7216.0,20555.0,7102.0,7237.0,20369.0,14003.0,7335.0,11643.0,16002.0,18439.0,5399.0,5133.0,11955.0,3225.0,13971.0,7382.0,3269.0,7351.0,3032.0,9371.0,7550.0,7304.0,7421.0,3020.0,7286.0,7206.0,7599.0,7316.0,11770.0,16066.0,3503.0,3277.0,3117.0,7384.0,107157.0
G_14,18081.0,26783.0,13867.0,13812.0,29180.0,28991.0,3317.0,13879.0,18190.0,22517.0,13962.0,13933.0,13839.0,20326.0,0.0,9419.0,31221.0,13865.0,1110.0,13859.0,13757.0,1198.0,7448.0,13867.0,31255.0,5174.0,3218.0,15974.0,24642.0,9528.0,18360.0,7584.0,13904.0,22416.0,26900.0,18139.0,11815.0,26892.0,13766.0,13855.0,18121.0,26786.0,26963.0,14019.0,13815.0,9575.0,5526.0,22463.0,22547.0,22291.0,13803.0,126680.0
G_15,26447.0,35145.0,22215.0,22039.0,37424.0,37300.0,7169.0,22200.0,26577.0,30872.0,22270.0,22069.0,22228.0,28792.0,9419.0,0.0,39639.0,22356.0,9314.0,22103.0,22124.0,9388.0,15731.0,22023.0,39564.0,13604.0,11380.0,24340.0,32893.0,17761.0,26736.0,15690.0,22038.0,30887.0,35313.0,26503.0,20090.0,35168.0,22105.0,21957.0,26454.0,35133.0,35166.0,22088.0,22312.0,17981.0,13843.0,30890.0,30774.0,30648.0,22121.0,134982.0
G_16,14143.0,5501.0,17870.0,18401.0,3100.0,3008.0,33153.0,18428.0,14335.0,9603.0,17857.0,18070.0,18062.0,11600.0,31221.0,39639.0,0.0,18119.0,31398.0,17844.0,18192.0,31170.0,24860.0,18047.0,691.0,26698.0,29173.0,16154.0,7442.0,22751.0,14295.0,24844.0,18050.0,9823.0,4718.0,14114.0,20046.0,5305.0,18163.0,18117.0,13624.0,5137.0,5163.0,18339.0,18448.0,22628.0,27201.0,9981.0,9486.0,9686.0,18378.0,96133.0
G_17,5451.0,13918.0,882.0,1256.0,16087.0,15907.0,15987.0,1334.0,5705.0,9555.0,1027.0,1080.0,900.0,7216.0,13865.0,22356.0,18119.0,0.0,14168.0,922.0,893.0,14012.0,7604.0,1061.0,18154.0,9522.0,11967.0,3231.0,11701.0,5494.0,5443.0,7565.0,996.0,9626.0,13882.0,5234.0,3078.0,13973.0,930.0,1114.0,5135.0,13809.0,13844.0,1304.0,1091.0,5313.0,9887.0,9850.0,9664.0,9489.0,1111.0,113692.0
G_18,18174.0,26878.0,14064.0,13822.0,29184.0,29117.0,3335.0,13886.0,18388.0,22630.0,14063.0,14023.0,13973.0,20555.0,1110.0,9314.0,31398.0,14168.0,0.0,14071.0,13921.0,1097.0,7431.0,13894.0,31437.0,5520.0,3085.0,15980.0,24657.0,9544.0,18591.0,7447.0,13891.0,22668.0,27211.0,18207.0,11917.0,27073.0,13777.0,13890.0,18157.0,26948.0,27096.0,13882.0,13921.0,9688.0,5507.0,22475.0,22727.0,22286.0,13819.0,127004.0
G_19,5291.0,13579.0,662.0,858.0,15744.0,15622.0,15697.0,1091.0,5328.0,9372.0,951.0,632.0,866.0,7102.0,13859.0,22103.0,17844.0,922.0,14071.0,0.0,830.0,14021.0,7469.0,668.0,17809.0,9306.0,11734.0,3056.0,11336.0,5228.0,5431.0,7478.0,719.0,9465.0,13480.0,5188.0,2918.0,13483.0,879.0,618.0,4897.0,13442.0,13347.0,1016.0,1149.0,5423.0,9970.0,9600.0,9059.0,9310.0,985.0,113180.0
G_20,5265.0,13754.0,849.0,1056.0,16090.0,15911.0,15804.0,1185.0,5642.0,9555.0,1100.0,998.0,875.0,7237.0,13757.0,22124.0,18192.0,893.0,13921.0,830.0,0.0,13982.0,7435.0,944.0,18240.0,9387.0,11763.0,3087.0,11561.0,5265.0,5565.0,7413.0,978.0,9441.0,13914.0,5092.0,3128.0,13850.0,804.0,953.0,5085.0,13799.0,13800.0,1177.0,1053.0,5350.0,9840.0,9641.0,9541.0,9374.0,1065.0,113786.0
G_21,18097.0,26880.0,13849.0,13844.0,29072.0,29164.0,3354.0,14047.0,18390.0,22559.0,13713.0,13952.0,13891.0,20369.0,1198.0,9388.0,31170.0,14012.0,1097.0,14021.0,13982.0,0.0,7462.0,13886.0,31269.0,5411.0,3167.0,16062.0,24665.0,9640.0,18323.0,7579.0,13829.0,22708.0,26990.0,18195.0,11627.0,27031.0,13800.0,13893.0,18136.0,26925.0,26979.0,13918.0,14032.0,9580.0,5553.0,22710.0,22740.0,22388.0,13889.0,126708.0
G_22,11652.0,20309.0,7473.0,7267.0,22648.0,22537.0,9410.0,7529.0,11941.0,16128.0,7542.0,7446.0,7376.0,14003.0,7448.0,15731.0,24860.0,7604.0,7431.0,7469.0,7435.0,7462.0,0.0,7393.0,24739.0,3194.0,5190.0,9489.0,18045.0,2956.0,12052.0,1132.0,7390.0,16040.0,20584.0,11701.0,5300.0,20438.0,7353.0,7280.0,11669.0,20416.0,20511.0,7413.0,7450.0,3258.0,3504.0,16033.0,16115.0,15848.0,7463.0,120358.0
G_23,5107.0,13659.0,706.0,769.0,15886.0,15703.0,15791.0,955.0,5282.0,9356.0,978.0,734.0,804.0,7335.0,13867.0,22023.0,18047.0,1061.0,13894.0,668.0,944.0,13886.0,7393.0,0.0,17927.0,9315.0,11545.0,2949.0,11367.0,5124.0,5526.0,7376.0,745.0,9553.0,13736.0,5240.0,3014.0,13628.0,778.0,591.0,4869.0,13536.0,13660.0,796.0,1236.0,5458.0,9906.0,9518.0,9211.0,9324.0,961.0,113395.0
G_24,14176.0,5517.0,17947.0,18337.0,3071.0,2865.0,33157.0,18379.0,14296.0,9577.0,18147.0,18049.0,18046.0,11643.0,31255.0,39564.0,691.0,18154.0,31437.0,17809.0,18240.0,31269.0,24739.0,17927.0,0.0,26640.0,29102.0,16151.0,7378.0,22638.0,14275.0,24794.0,18078.0,9794.0,4919.0,14104.0,20123.0,5191.0,18178.0,17987.0,13665.0,5082.0,5162.0,18267.0,18425.0,22665.0,27223.0,9949.0,9374.0,9741.0,18314.0,96032.0
G_25,13636.0,22268.0,9369.0,9376.0,24643.0,24438.0,7431.0,9614.0,13881.0,18026.0,9491.0,9365.0,9532.0,16002.0,5174.0,13604.0,26698.0,9522.0,5520.0,9306.0,9387.0,5411.0,3194.0,9315.0,26640.0,0.0,3154.0,11578.0,20176.0,5226.0,14045.0,3221.0,9365.0,18101.0,22374.0,13826.0,7281.0,22241.0,9374.0,9304.0,13594.0,22213.0,22383.0,9528.0,9693.0,5296.0,1556.0,18109.0,17902.0,17949.0,9446.0,122037.0
G_26,15984.0,24623.0,11782.0,11423.0,26959.0,26820.0,5308.0,11464.0,16059.0,20327.0,11814.0,11657.0,11762.0,18439.0,3218.0,11380.0,29173.0,11967.0,3085.0,11734.0,11763.0,3167.0,5190.0,11545.0,29102.0,3154.0,0.0,13796.0,22387.0,7235.0,16379.0,5234.0,11599.0,20384.0,24894.0,16096.0,9601.0,24681.0,11618.0,11443.0,15981.0,24599.0,24775.0,11487.0,11837.0,7492.0,3512.0,20291.0,20360.0,20202.0,11579.0,124618.0
G_27,3026.0,11622.0,3065.0,3018.0,14002.0,13817.0,17870.0,3107.0,3403.0,7424.0,3288.0,3097.0,3061.0,5399.0,15974.0,24340.0,16154.0,3231.0,15980.0,3056.0,3087.0,16062.0,9489.0,2949.0,16151.0,11578.0,13796.0,0.0,9500.0,7273.0,3411.0,9460.0,3108.0,7442.0,11899.0,3217.0,5220.0,11762.0,2900.0,2966.0,2992.0,11638.0,11869.0,3117.0,3219.0,7501.0,12039.0,7361.0,7385.0,7265.0,3189.0,111658.0
G_28,7412.0,3243.0,11467.0,11496.0,5167.0,5134.0,26534.0,11691.0,7778.0,3177.0,11573.0,11325.0,11446.0,5133.0,24642.0,32893.0,7442.0,11701.0,24657.0,11336.0,11561.0,24665.0,18045.0,11367.0,7378.0,20176.0,22387.0,9500.0,0.0,15909.0,7766.0,18198.0,11453.0,3237.0,3126.0,7353.0,13634.0,3047.0,11497.0,11371.0,7173.0,3086.0,3050.0,11684.0,11861.0,16061.0,20510.0,3303.0,2993.0,3057.0,11545.0,102802.0
G_29,9497.0,18166.0,5408.0,5110.0,20466.0,20358.0,11594.0,5400.0,9762.0,13910.0,5414.0,5127.0,5333.0,11955.0,9528.0,17761.0,22751.0,5494.0,9544.0,5228.0,5265.0,9640.0,2956.0,5124.0,22638.0,5226.0,7235.0,7273.0,15909.0,0.0,9909.0,3206.0,5209.0,13894.0,18453.0,9635.0,3193.0,18232.0,5156.0,5119.0,9527.0,18213.0,18327.0,5232.0,5421.0,1127.0,5682.0,13878.0,13884.0,13708.0,5234.0,118153.0
