,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,2463.0,6307.0,4846.0,5533.0,181.0,993.0,10184.0,1695.0,8652.0,1748.0,5667.0,1755.0,190.0,4796.0,3234.0,6340.0,4104.0,9534.0,3985.0,3236.0,43158.0
G_1,2463.0,0.0,4015.0,7110.0,3233.0,2468.0,3225.0,7855.0,875.0,6318.0,4004.0,7904.0,4006.0,2433.0,2495.0,876.0,4001.0,6362.0,11790.0,1679.0,919.0,45373.0
G_2,6307.0,4015.0,0.0,11037.0,881.0,6341.0,7152.0,3972.0,4794.0,2443.0,7916.0,11819.0,7911.0,6357.0,1663.0,3231.0,172.0,10245.0,15688.0,2436.0,3212.0,49281.0
G_3,4846.0,7110.0,11037.0,0.0,10255.0,4791.0,4030.0,14889.0,6308.0,13346.0,3256.0,923.0,3232.0,4803.0,9504.0,7891.0,10983.0,891.0,4817.0,8690.0,7944.0,38388.0
G_4,5533.0,3233.0,881.0,10255.0,0.0,5574.0,6367.0,4743.0,4015.0,3199.0,7130.0,11034.0,7132.0,5578.0,885.0,2439.0,913.0,9480.0,14908.0,1685.0,2438.0,48524.0
G_5,181.0,2468.0,6341.0,4791.0,5574.0,0.0,954.0,10186.0,1666.0,8682.0,1656.0,5578.0,1676.0,163.0,4837.0,3255.0,6309.0,4021.0,9459.0,3993.0,3275.0,43036.0
G_6,993.0,3225.0,7152.0,4030.0,6367.0,954.0,0.0,10990.0,2430.0,9446.0,973.0,4796.0,897.0,906.0,5637.0,4028.0,7125.0,3270.0,8690.0,4801.0,4059.0,42276.0
G_7,10184.0,7855.0,3972.0,14889.0,4743.0,10186.0,10990.0,0.0,8634.0,1668.0,11756.0,15656.0,11760.0,10195.0,5534.0,7072.0,3981.0,14112.0,19550.0,6302.0,7074.0,53114.0
G_8,1695.0,875.0,4794.0,6308.0,4015.0,1666.0,2430.0,8634.0,0.0,7102.0,3203.0,7073.0,3169.0,1642.0,3277.0,1677.0,4781.0,5556.0,10968.0,2456.0,1680.0,44548.0
G_9,8652.0,6318.0,2443.0,13346.0,3199.0,8682.0,9446.0,1668.0,7102.0,0.0,10250.0,14122.0,10225.0,8668.0,3979.0,5557.0,2464.0,12588.0,18014.0,4797.0,5533.0,51588.0
G_10,1748.0,4004.0,7916.0,3256.0,7130.0,1656.0,973.0,11756.0,3203.0,10250.0,0.0,4034.0,156.0,1715.0,6399.0,4794.0,7881.0,2494.0,7878.0,5560.0,4825.0,41498.0
G_11,5667.0,7904.0,11819.0,923.0,11034.0,5578.0,4796.0,15656.0,7073.0,14122.0,4034.0,0.0,3969.0,5565.0,10299.0,8698.0,11788.0,1658.0,3952.0,9465.0,8725.0,37533.0
G_12,1755.0,4006.0,7911.0,3232.0,7132.0,1676.0,897.0,11760.0,3169.0,10225.0,156.0,3969.0,0.0,1659.0,6381.0,4805.0,7903.0,2455.0,7846.0,5552.0,4806.0,41458.0
G_13,190.0,2433.0,6357.0,4803.0,5578.0,163.0,906.0,10195.0,1642.0,8668.0,1715.0,5565.0,1659.0,0.0,4833.0,3221.0,6341.0,4047.0,9443.0,4003.0,3249.0,43049.0
G_14,4796.0,2495.0,1663.0,9504.0,885.0,4837.0,5637.0,5534.0,3277.0,3979.0,6399.0,10299.0,6381.0,4833.0,0.0,1707.0,1724.0,8772.0,14165.0,944.0,1695.0,47789.0
G_15,3234.0,876.0,3231.0,7891.0,2439.0,3255.0,4028.0,7072.0,1677.0,5557.0,4794.0,8698.0,4805.0,3221.0,1707.0,0.0,3209.0,7145.0,12590.0,905.0,161.0,46177.0
G_16,6340.0,4001.0,172.0,10983.0,913.0,6309.0,7125.0,3981.0,4781.0,2464.0,7881.0,11788.0,7903.0,6341.0,1724.0,3209.0,0.0,10216.0,15688.0,2452.0,3257.0,49224.0
G_17,4104.0,6362.0,10245.0,891.0,9480.0,4021.0,3270.0,14112.0,5556.0,12588.0,2494.0,1658.0,2455.0,4047.0,8772.0,7145.0,10216.0,0.0,5539.0,7913.0,7206.0,39105.0
G_18,9534.0,11790.0,15688.0,4817.0,14908.0,9459.0,8690.0,19550.0,10968.0,18014.0,7878.0,3952.0,7846.0,9443.0,14165.0,12590.0,15688.0,5539.0,0.0,13329.0,12586.0,33686.0
G_19,3985.0,1679.0,2436.0,8690.0,1685.0,3993.0,4801.0,6302.0,2456.0,4797.0,5560.0,9465.0,5552.0,4003.0,944.0,905.0,2452.0,7913.0,13329.0,0.0,916.0,46928.0
G_20,3236.0,919.0,3212.0,7944.0,2438.0,3275.0,4059.0,7074.0,1680.0,5533.0,4825.0,8725.0,4806.0,3249.0,1695.0,161.0,3257.0,7206.0,12586.0,916.0,0.0,46203.0
G_21,43158.0,45373.0,49281.0,38388.0,48524.0,43036.0,42276.0,53114.0,44548.0,51588.0,41498.0,37533.0,41458.0,43049.0,47789.0,46177.0,49224.0,39105.0,33686.0,46928.0,46203.0,0.0
