Precision,Recall,F1-score,SDTED
0.9583333333333334,0.92,0.9387755102040817,0.6339381003201707
1.0,1.0,1.0,0.727854855923159
1.0,0.96,0.9795918367346939,0.8580576307363927
0.9166666666666666,0.88,0.8979591836734694,0.711846318036286
1.0,0.88,0.9361702127659575,0.6808964781216649
0.9583333333333334,0.92,0.9387755102040817,0.5613660618996799
1.0,0.92,0.9583333333333334,0.6627534685165422
1.0,1.0,1.0,0.8740661686232658
0.92,0.92,0.92,0.7481323372465315
0.9583333333333334,0.92,0.9387755102040817,0.7865528281750267
0.8928571428571429,1.0,0.9433962264150945,0.8463180362860192
0.9259259259259259,1.0,0.9615384615384615,0.7972251867662754
0.9259259259259259,1.0,0.9615384615384615,0.6819637139807897
1.0,0.92,0.9583333333333334,0.7449306296691569
0.8888888888888888,0.96,0.923076923076923,0.848452508004269
0.9230769230769231,0.96,0.9411764705882353,0.9263607257203842
0.96,0.96,0.96,0.7897545357524013
0.92,0.92,0.92,0.9316969050160085
0.9615384615384616,1.0,0.9803921568627451,0.8633938100320171
0.96,0.96,0.96,0.67982924226254
0.9615384615384616,1.0,0.9803921568627451,0.8868729989327642
0.9615384615384616,1.0,0.9803921568627451,0.9413020277481323
0.9583333333333334,0.92,0.9387755102040817,0.8687299893276414
0.9583333333333334,0.92,0.9387755102040817,0.8089647812166489
1.0,1.0,1.0,0.7385272145144077
0.9583333333333334,0.92,0.9387755102040817,0.6264674493062967
1.0,1.0,1.0,0.9114194236926361
0.9615384615384616,1.0,0.9803921568627451,0.9274279615795091
1.0,1.0,1.0,0.8345784418356457
0.9565217391304348,0.88,0.9166666666666666,0.727854855923159
0.8928571428571429,1.0,0.9433962264150945,0.8665955176093917
0.9259259259259259,1.0,0.9615384615384615,0.7459978655282817
0.9615384615384616,1.0,0.9803921568627451,0.7609391675560299
0.9583333333333334,0.92,0.9387755102040817,0.8495197438633938
1.0,0.96,0.9795918367346939,0.8025613660618997
0.96,0.96,0.96,0.8687299893276414
0.92,0.92,0.92,0.8868729989327642
0.96,0.96,0.96,0.8815368196371398
0.8620689655172413,1.0,0.9259259259259259,0.8420490928495197
0.96,0.96,0.96,0.7054429028815368
0.9230769230769231,0.96,0.9411764705882353,0.7897545357524013
1.0,0.96,0.9795918367346939,0.768409818569904
0.9230769230769231,0.96,0.9411764705882353,0.87940234791889
0.9615384615384616,1.0,0.9803921568627451,0.8271077908217717
0.9565217391304348,0.88,0.9166666666666666,0.7662753468516542
0.9259259259259259,1.0,0.9615384615384615,0.855923159018143
0.92,0.92,0.92,0.6776947705442903
1.0,0.92,0.9583333333333334,0.7630736392742796
0.9583333333333334,0.92,0.9387755102040817,0.7395944503735326
0.9615384615384616,1.0,0.9803921568627451,0.7886872998932764
1.0,0.96,0.9795918367346939,0.6915688367129136
1.0,0.96,0.9795918367346939,0.7459978655282817
0.96,0.96,0.96,0.7534685165421559
1.0,0.92,0.9583333333333334,0.7577374599786553
0.9615384615384616,1.0,0.9803921568627451,0.8858057630736392
0.9615384615384616,1.0,0.9803921568627451,0.7502668089647813
1.0,1.0,1.0,0.7406616862326574
0.9615384615384616,1.0,0.9803921568627451,0.8751334044823906
0.9583333333333334,0.92,0.9387755102040817,0.7150480256136607
0.92,0.92,0.92,0.823906083244397
1.0,1.0,1.0,0.8516542155816436
0.9259259259259259,1.0,0.9615384615384615,0.8932764140875133
0.9615384615384616,1.0,0.9803921568627451,0.8452508004268944
1.0,1.0,1.0,0.791889007470651
0.9230769230769231,0.96,0.9411764705882353,0.7566702241195304
0.9615384615384616,1.0,0.9803921568627451,0.8708644610458911
1.0,0.96,0.9795918367346939,0.8431163287086446
0.9259259259259259,1.0,0.9615384615384615,0.7705442902881536
0.9565217391304348,0.88,0.9166666666666666,0.6531483457844184
0.9615384615384616,1.0,0.9803921568627451,0.7502668089647813
0.9615384615384616,1.0,0.9803921568627451,0.736392742796158
1.0,0.92,0.9583333333333334,0.687299893276414
1.0,0.96,0.9795918367346939,0.8740661686232658
1.0,0.88,0.9361702127659575,0.6755602988260405
1.0,0.96,0.9795918367346939,0.6937033084311632
0.96,0.96,0.96,0.8975453575240128
1.0,0.96,0.9795918367346939,0.9028815368196371
0.9615384615384616,1.0,0.9803921568627451,0.8655282817502667
1.0,0.92,0.9583333333333334,0.7385272145144077
1.0,0.92,0.9583333333333334,0.7310565635005336
1.0,1.0,1.0,0.735325506937033
0.9615384615384616,1.0,0.9803921568627451,0.9274279615795091
1.0,0.96,0.9795918367346939,0.67982924226254
1.0,1.0,1.0,0.7171824973319103
0.96,0.96,0.96,0.816435432230523
1.0,0.92,0.9583333333333334,0.7139807897545358
0.96,0.96,0.96,0.8441835645677694
0.96,0.96,0.96,0.6339381003201707
0.8333333333333334,1.0,0.9090909090909091,0.8580576307363927
0.96,0.96,0.96,0.8495197438633938
1.0,1.0,1.0,0.648879402347919
0.96,0.96,0.96,0.7929562433297759
0.96,0.96,0.96,0.7342582710779082
1.0,0.92,0.9583333333333334,0.7908217716115261
0.96,0.96,0.96,0.7139807897545358
1.0,0.92,0.9583333333333334,0.767342582710779
0.9583333333333334,0.92,0.9387755102040817,0.7267876200640342
1.0,0.92,0.9583333333333334,0.7139807897545358
1.0,0.92,0.9583333333333334,0.6606189967982925
0.96,0.96,0.96,0.9135538954108858
