,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,993.0,1759.0,8975.0,7458.0,8168.0,3345.0,1744.0,4147.0,5768.0,3432.0,7322.0,3372.0,10564.0,1743.0,1750.0,947.0,4952.0,8975.0,4146.0,13045.0,43945.0
G_1,993.0,0.0,934.0,9827.0,6567.0,8994.0,4196.0,2506.0,4969.0,6602.0,2533.0,8162.0,4196.0,11409.0,2553.0,2546.0,1731.0,5767.0,9819.0,4975.0,13863.0,43022.0
G_2,1759.0,934.0,0.0,10623.0,5802.0,9796.0,4966.0,3337.0,5763.0,7404.0,1771.0,8963.0,5008.0,12206.0,3329.0,3348.0,2533.0,6557.0,10621.0,5793.0,14683.0,42263.0
G_3,8975.0,9827.0,10623.0,0.0,16314.0,941.0,5782.0,7381.0,4965.0,3363.0,12264.0,1735.0,5776.0,1715.0,7395.0,7397.0,8202.0,4165.0,133.0,4954.0,4158.0,52768.0
G_4,7458.0,6567.0,5802.0,16314.0,0.0,15468.0,10648.0,9000.0,11447.0,13092.0,4110.0,14649.0,10675.0,17900.0,9025.0,9005.0,8213.0,12207.0,16311.0,11479.0,20350.0,36522.0
G_5,8168.0,8994.0,9796.0,941.0,15468.0,0.0,4952.0,6551.0,4146.0,2542.0,11447.0,918.0,4945.0,2544.0,6577.0,6574.0,7366.0,3338.0,927.0,4162.0,4962.0,51943.0
G_6,3345.0,4196.0,4966.0,5782.0,10648.0,4952.0,0.0,1773.0,945.0,2568.0,6628.0,4108.0,180.0,7350.0,1756.0,1748.0,2553.0,1735.0,5778.0,961.0,9826.0,47125.0
G_7,1744.0,2506.0,3337.0,7381.0,9000.0,6551.0,1773.0,0.0,2543.0,4186.0,4965.0,5733.0,1775.0,8984.0,147.0,134.0,919.0,3321.0,7389.0,2574.0,11439.0,45463.0
G_8,4147.0,4969.0,5763.0,4965.0,11447.0,4146.0,945.0,2543.0,0.0,1753.0,7407.0,3308.0,959.0,6538.0,2560.0,2562.0,3344.0,914.0,4970.0,127.0,9005.0,47898.0
G_9,5768.0,6602.0,7404.0,3363.0,13092.0,2542.0,2568.0,4186.0,1753.0,0.0,9047.0,1741.0,2580.0,4935.0,4193.0,4187.0,4978.0,951.0,3339.0,1765.0,7405.0,49543.0
G_10,3432.0,2533.0,1771.0,12264.0,4110.0,11447.0,6628.0,4965.0,7407.0,9047.0,0.0,10579.0,6642.0,13831.0,4965.0,4983.0,4179.0,8198.0,12258.0,7426.0,16307.0,40545.0
G_11,7322.0,8162.0,8963.0,1735.0,14649.0,918.0,4108.0,5733.0,3308.0,1741.0,10579.0,0.0,4116.0,3289.0,5724.0,5737.0,6540.0,2506.0,1729.0,3306.0,5782.0,51090.0
G_12,3372.0,4196.0,5008.0,5776.0,10675.0,4945.0,180.0,1775.0,959.0,2580.0,6642.0,4116.0,0.0,7353.0,1782.0,1769.0,2567.0,1752.0,5778.0,968.0,9818.0,47146.0
G_13,10564.0,11409.0,12206.0,1715.0,17900.0,2544.0,7350.0,8984.0,6538.0,4935.0,13831.0,3289.0,7353.0,0.0,8975.0,8979.0,9778.0,5745.0,1726.0,6534.0,2560.0,54329.0
G_14,1743.0,2553.0,3329.0,7395.0,9025.0,6577.0,1756.0,147.0,2560.0,4193.0,4965.0,5724.0,1782.0,8975.0,0.0,150.0,930.0,3346.0,7395.0,2564.0,11442.0,45473.0
G_15,1750.0,2546.0,3348.0,7397.0,9005.0,6574.0,1748.0,134.0,2562.0,4187.0,4983.0,5737.0,1769.0,8979.0,150.0,0.0,946.0,3335.0,7401.0,2555.0,11440.0,45482.0
G_16,947.0,1731.0,2533.0,8202.0,8213.0,7366.0,2553.0,919.0,3344.0,4978.0,4179.0,6540.0,2567.0,9778.0,930.0,946.0,0.0,4148.0,8197.0,3362.0,12253.0,44675.0
G_17,4952.0,5767.0,6557.0,4165.0,12207.0,3338.0,1735.0,3321.0,914.0,951.0,8198.0,2506.0,1752.0,5745.0,3346.0,3335.0,4148.0,0.0,4156.0,945.0,8197.0,48691.0
G_18,8975.0,9819.0,10621.0,133.0,16311.0,927.0,5778.0,7389.0,4970.0,3339.0,12258.0,1729.0,5778.0,1726.0,7395.0,7401.0,8197.0,4156.0,0.0,4961.0,4154.0,52766.0
G_19,4146.0,4975.0,5793.0,4954.0,11479.0,4162.0,961.0,2574.0,127.0,1765.0,7426.0,3306.0,968.0,6534.0,2564.0,2555.0,3362.0,945.0,4961.0,0.0,9003.0,47928.0
G_20,13045.0,13863.0,14683.0,4158.0,20350.0,4962.0,9826.0,11439.0,9005.0,7405.0,16307.0,5782.0,9818.0,2560.0,11442.0,11440.0,12253.0,8197.0,4154.0,9003.0,0.0,56808.0
G_21,43945.0,43022.0,42263.0,52768.0,36522.0,51943.0,47125.0,45463.0,47898.0,49543.0,40545.0,51090.0,47146.0,54329.0,45473.0,45482.0,44675.0,48691.0,52766.0,47928.0,56808.0,0.0
