,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,169.0,57.0,9.0,118.0,30.0,290.0,15.0,111.0,81.0,184.0,126.0,29.0,166.0,210.0,51.0,198.0,239.0,94.0,95.0,218.0,75.0,52.0,16.0,93.0,166.0,80.0,142.0,272.0,104.0,74.0,73.0,17.0,15.0,52.0,230.0,72.0,19.0,93.0,46.0,189.0,1460.0
G_1,169.0,0.0,215.0,176.0,82.0,150.0,447.0,177.0,77.0,121.0,41.0,56.0,154.0,16.0,371.0,213.0,43.0,80.0,253.0,253.0,371.0,116.0,214.0,175.0,95.0,15.0,239.0,303.0,116.0,108.0,230.0,232.0,175.0,177.0,212.0,72.0,117.0,176.0,256.0,133.0,352.0,1620.0
G_2,57.0,215.0,0.0,55.0,155.0,78.0,248.0,59.0,149.0,123.0,231.0,175.0,73.0,213.0,167.0,22.0,238.0,282.0,58.0,65.0,175.0,117.0,17.0,53.0,136.0,209.0,40.0,102.0,315.0,146.0,45.0,40.0,61.0,50.0,18.0,276.0,116.0,62.0,63.0,95.0,146.0,1420.0
G_3,9.0,176.0,55.0,0.0,115.0,35.0,290.0,16.0,112.0,80.0,187.0,128.0,35.0,171.0,210.0,54.0,200.0,243.0,93.0,97.0,215.0,76.0,51.0,16.0,94.0,170.0,75.0,137.0,275.0,105.0,77.0,75.0,18.0,14.0,54.0,235.0,73.0,18.0,91.0,52.0,185.0,1460.0
G_4,118.0,82.0,155.0,115.0,0.0,97.0,385.0,112.0,19.0,55.0,94.0,36.0,102.0,77.0,303.0,151.0,98.0,142.0,191.0,194.0,311.0,61.0,151.0,111.0,31.0,76.0,170.0,236.0,172.0,40.0,172.0,171.0,112.0,115.0,151.0,137.0,57.0,114.0,191.0,78.0,292.0,1560.0
G_5,30.0,150.0,78.0,35.0,97.0,0.0,309.0,34.0,90.0,58.0,167.0,108.0,13.0,146.0,230.0,71.0,177.0,219.0,114.0,111.0,234.0,55.0,73.0,34.0,72.0,146.0,98.0,162.0,248.0,81.0,90.0,90.0,34.0,37.0,71.0,210.0,52.0,36.0,116.0,33.0,213.0,1480.0
G_6,290.0,447.0,248.0,290.0,385.0,309.0,0.0,287.0,388.0,347.0,464.0,404.0,310.0,444.0,88.0,248.0,468.0,508.0,208.0,213.0,92.0,351.0,249.0,288.0,367.0,443.0,229.0,176.0,547.0,370.0,233.0,229.0,290.0,287.0,248.0,503.0,348.0,290.0,211.0,328.0,118.0,1180.0
G_7,15.0,177.0,59.0,16.0,112.0,34.0,287.0,0.0,112.0,77.0,187.0,129.0,36.0,170.0,209.0,52.0,196.0,238.0,94.0,91.0,216.0,81.0,55.0,22.0,94.0,168.0,79.0,142.0,272.0,99.0,75.0,75.0,16.0,20.0,53.0,233.0,75.0,17.0,97.0,53.0,195.0,1460.0
G_8,111.0,77.0,149.0,112.0,19.0,90.0,388.0,112.0,0.0,61.0,94.0,37.0,90.0,77.0,306.0,148.0,100.0,142.0,193.0,194.0,312.0,53.0,154.0,107.0,32.0,69.0,176.0,238.0,172.0,47.0,172.0,169.0,110.0,114.0,152.0,133.0,51.0,114.0,195.0,71.0,287.0,1560.0
G_9,81.0,121.0,123.0,80.0,55.0,58.0,347.0,77.0,61.0,0.0,130.0,74.0,64.0,114.0,270.0,111.0,135.0,178.0,153.0,152.0,274.0,27.0,118.0,83.0,33.0,117.0,136.0,197.0,212.0,40.0,135.0,136.0,74.0,84.0,119.0,175.0,19.0,75.0,153.0,43.0,258.0,1520.0
G_10,184.0,41.0,231.0,187.0,94.0,167.0,464.0,187.0,94.0,130.0,0.0,66.0,169.0,28.0,382.0,224.0,19.0,65.0,270.0,268.0,393.0,137.0,226.0,190.0,108.0,33.0,252.0,314.0,97.0,115.0,248.0,247.0,189.0,191.0,230.0,57.0,128.0,190.0,266.0,148.0,366.0,1640.0
G_11,126.0,56.0,175.0,128.0,36.0,108.0,404.0,129.0,37.0,74.0,66.0,0.0,110.0,45.0,323.0,164.0,77.0,121.0,210.0,207.0,332.0,76.0,171.0,131.0,49.0,50.0,193.0,255.0,151.0,58.0,186.0,188.0,129.0,132.0,170.0,114.0,71.0,130.0,211.0,90.0,308.0,1580.0
G_12,29.0,154.0,73.0,35.0,102.0,13.0,310.0,36.0,90.0,64.0,169.0,110.0,0.0,150.0,230.0,72.0,178.0,220.0,118.0,117.0,240.0,57.0,76.0,36.0,75.0,147.0,102.0,163.0,253.0,86.0,95.0,93.0,37.0,37.0,74.0,214.0,54.0,40.0,117.0,34.0,211.0,1480.0
G_13,166.0,16.0,213.0,171.0,77.0,146.0,444.0,170.0,77.0,114.0,28.0,45.0,150.0,0.0,365.0,206.0,39.0,82.0,250.0,250.0,373.0,117.0,208.0,171.0,91.0,14.0,233.0,297.0,113.0,97.0,226.0,227.0,173.0,172.0,209.0,74.0,111.0,172.0,249.0,131.0,349.0,1620.0
