,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_14,210.0,371.0,167.0,210.0,303.0,230.0,88.0,209.0,306.0,270.0,382.0,323.0,230.0,365.0,0.0,168.0,390.0,437.0,130.0,136.0,19.0,270.0,170.0,206.0,284.0,362.0,151.0,100.0,466.0,291.0,155.0,150.0,205.0,206.0,171.0,428.0,266.0,212.0,136.0,247.0,37.0,1260.0
G_15,51.0,213.0,22.0,54.0,151.0,71.0,248.0,52.0,148.0,111.0,224.0,164.0,72.0,206.0,168.0,0.0,232.0,278.0,52.0,53.0,176.0,117.0,16.0,55.0,128.0,206.0,36.0,101.0,310.0,137.0,35.0,36.0,52.0,56.0,18.0,269.0,107.0,52.0,54.0,88.0,156.0,1420.0
G_16,198.0,43.0,238.0,200.0,98.0,177.0,468.0,196.0,100.0,135.0,19.0,77.0,178.0,39.0,390.0,232.0,0.0,64.0,274.0,276.0,391.0,141.0,235.0,197.0,112.0,44.0,257.0,319.0,94.0,119.0,248.0,256.0,191.0,202.0,238.0,55.0,135.0,194.0,278.0,163.0,375.0,1640.0
G_17,239.0,80.0,282.0,243.0,142.0,219.0,508.0,238.0,142.0,178.0,65.0,121.0,220.0,82.0,437.0,278.0,64.0,0.0,320.0,320.0,437.0,185.0,280.0,238.0,163.0,80.0,304.0,367.0,63.0,166.0,295.0,295.0,242.0,242.0,274.0,17.0,179.0,237.0,321.0,203.0,421.0,1680.0
G_18,94.0,253.0,58.0,93.0,191.0,114.0,208.0,94.0,193.0,153.0,270.0,210.0,118.0,250.0,130.0,52.0,274.0,320.0,0.0,16.0,131.0,158.0,51.0,96.0,173.0,251.0,35.0,59.0,349.0,175.0,37.0,35.0,92.0,92.0,53.0,313.0,150.0,93.0,17.0,131.0,117.0,1380.0
G_19,95.0,253.0,65.0,97.0,194.0,111.0,213.0,91.0,194.0,152.0,268.0,207.0,117.0,250.0,136.0,53.0,276.0,320.0,16.0,0.0,138.0,161.0,56.0,102.0,171.0,251.0,38.0,62.0,348.0,176.0,37.0,40.0,91.0,97.0,56.0,313.0,155.0,96.0,20.0,132.0,120.0,1380.0
G_20,218.0,371.0,175.0,215.0,311.0,234.0,92.0,216.0,312.0,274.0,393.0,332.0,240.0,373.0,19.0,176.0,391.0,437.0,131.0,138.0,0.0,272.0,170.0,214.0,293.0,370.0,151.0,98.0,470.0,294.0,159.0,155.0,211.0,210.0,177.0,431.0,272.0,217.0,139.0,254.0,43.0,1260.0
G_21,75.0,116.0,117.0,76.0,61.0,55.0,351.0,81.0,53.0,27.0,137.0,76.0,57.0,117.0,270.0,117.0,141.0,185.0,158.0,161.0,272.0,0.0,117.0,75.0,36.0,112.0,135.0,204.0,212.0,46.0,134.0,134.0,77.0,77.0,117.0,175.0,22.0,81.0,161.0,37.0,252.0,1520.0
G_22,52.0,214.0,17.0,51.0,151.0,73.0,249.0,55.0,154.0,118.0,226.0,171.0,76.0,208.0,170.0,16.0,235.0,280.0,51.0,56.0,170.0,117.0,0.0,55.0,134.0,211.0,31.0,97.0,312.0,139.0,38.0,33.0,56.0,51.0,15.0,275.0,114.0,60.0,51.0,93.0,149.0,1420.0
G_23,16.0,175.0,53.0,16.0,111.0,34.0,288.0,22.0,107.0,83.0,190.0,131.0,36.0,171.0,206.0,55.0,197.0,238.0,96.0,102.0,214.0,75.0,55.0,0.0,92.0,167.0,78.0,139.0,271.0,104.0,78.0,72.0,20.0,15.0,51.0,230.0,70.0,22.0,99.0,55.0,191.0,1460.0
G_24,93.0,95.0,136.0,94.0,31.0,72.0,367.0,94.0,32.0,33.0,108.0,49.0,75.0,91.0,284.0,128.0,112.0,163.0,173.0,171.0,293.0,36.0,134.0,92.0,0.0,92.0,153.0,215.0,189.0,21.0,148.0,151.0,87.0,96.0,135.0,154.0,32.0,91.0,174.0,56.0,269.0,1540.0
G_25,166.0,15.0,209.0,170.0,76.0,146.0,443.0,168.0,69.0,117.0,33.0,50.0,147.0,14.0,362.0,206.0,44.0,80.0,251.0,251.0,370.0,112.0,211.0,167.0,92.0,0.0,235.0,298.0,113.0,100.0,229.0,224.0,170.0,171.0,206.0,74.0,109.0,170.0,252.0,128.0,348.0,1620.0
G_26,80.0,239.0,40.0,75.0,170.0,98.0,229.0,79.0,176.0,136.0,252.0,193.0,102.0,233.0,151.0,36.0,257.0,304.0,35.0,38.0,151.0,135.0,31.0,78.0,153.0,235.0,0.0,76.0,333.0,159.0,23.0,18.0,77.0,73.0,43.0,297.0,136.0,80.0,35.0,117.0,136.0,1400.0
G_27,142.0,303.0,102.0,137.0,236.0,162.0,176.0,142.0,238.0,197.0,314.0,255.0,163.0,297.0,100.0,101.0,319.0,367.0,59.0,62.0,98.0,204.0,97.0,139.0,215.0,298.0,76.0,0.0,399.0,215.0,85.0,80.0,138.0,135.0,103.0,365.0,196.0,144.0,57.0,180.0,83.0,1340.0
G_28,272.0,116.0,315.0,275.0,172.0,248.0,547.0,272.0,172.0,212.0,97.0,151.0,253.0,113.0,466.0,310.0,94.0,63.0,349.0,348.0,470.0,212.0,312.0,271.0,189.0,113.0,333.0,399.0,0.0,196.0,324.0,328.0,267.0,276.0,309.0,54.0,215.0,272.0,354.0,236.0,450.0,1720.0
G_29,104.0,108.0,146.0,105.0,40.0,81.0,370.0,99.0,47.0,40.0,115.0,58.0,86.0,97.0,291.0,137.0,119.0,166.0,175.0,176.0,294.0,46.0,139.0,104.0,21.0,100.0,159.0,215.0,196.0,0.0,157.0,156.0,100.0,106.0,140.0,164.0,43.0,98.0,175.0,65.0,283.0,1540.0
G_30,74.0,230.0,45.0,77.0,172.0,90.0,233.0,75.0,172.0,135.0,248.0,186.0,95.0,226.0,155.0,35.0,248.0,295.0,37.0,37.0,159.0,134.0,38.0,78.0,148.0,229.0,23.0,85.0,324.0,157.0,0.0,19.0,70.0,79.0,36.0,289.0,132.0,73.0,41.0,116.0,140.0,1400.0
G_31,73.0,232.0,40.0,75.0,171.0,90.0,229.0,75.0,169.0,136.0,247.0,188.0,93.0,227.0,150.0,36.0,256.0,295.0,35.0,40.0,155.0,134.0,33.0,72.0,151.0,224.0,18.0,80.0,328.0,156.0,19.0,0.0,75.0,74.0,36.0,290.0,129.0,80.0,38.0,112.0,136.0,1400.0
G_32,17.0,175.0,61.0,18.0,112.0,34.0,290.0,16.0,110.0,74.0,189.0,129.0,37.0,173.0,205.0,52.0,191.0,242.0,92.0,91.0,211.0,77.0,56.0,20.0,87.0,170.0,77.0,138.0,267.0,100.0,70.0,75.0,0.0,19.0,57.0,234.0,71.0,17.0,97.0,55.0,194.0,1460.0
G_33,15.0,177.0,50.0,14.0,115.0,37.0,287.0,20.0,114.0,84.0,191.0,132.0,37.0,172.0,206.0,56.0,202.0,242.0,92.0,97.0,210.0,77.0,51.0,15.0,96.0,171.0,73.0,135.0,276.0,106.0,79.0,74.0,19.0,0.0,55.0,236.0,75.0,22.0,96.0,53.0,185.0,1460.0
G_34,52.0,212.0,18.0,54.0,151.0,71.0,248.0,53.0,152.0,119.0,230.0,170.0,74.0,209.0,171.0,18.0,238.0,274.0,53.0,56.0,177.0,117.0,15.0,51.0,135.0,206.0,43.0,103.0,309.0,140.0,36.0,36.0,57.0,55.0,0.0,270.0,113.0,56.0,60.0,92.0,156.0,1420.0
G_35,230.0,72.0,276.0,235.0,137.0,210.0,503.0,233.0,133.0,175.0,57.0,114.0,214.0,74.0,428.0,269.0,55.0,17.0,313.0,313.0,431.0,175.0,275.0,230.0,154.0,74.0,297.0,365.0,54.0,164.0,289.0,290.0,234.0,236.0,270.0,0.0,173.0,232.0,316.0,193.0,413.0,1680.0
G_36,72.0,117.0,116.0,73.0,57.0,52.0,348.0,75.0,51.0,19.0,128.0,71.0,54.0,111.0,266.0,107.0,135.0,179.0,150.0,155.0,272.0,22.0,114.0,70.0,32.0,109.0,136.0,196.0,215.0,43.0,132.0,129.0,71.0,75.0,113.0,173.0,0.0,73.0,151.0,35.0,251.0,1520.0
G_37,19.0,176.0,62.0,18.0,114.0,36.0,290.0,17.0,114.0,75.0,190.0,130.0,40.0,172.0,212.0,52.0,194.0,237.0,93.0,96.0,217.0,81.0,60.0,22.0,91.0,170.0,80.0,144.0,272.0,98.0,73.0,80.0,17.0,22.0,56.0,232.0,73.0,0.0,100.0,57.0,198.0,1460.0
G_38,93.0,256.0,63.0,91.0,191.0,116.0,211.0,97.0,195.0,153.0,266.0,211.0,117.0,249.0,136.0,54.0,278.0,321.0,17.0,20.0,139.0,161.0,51.0,99.0,174.0,252.0,35.0,57.0,354.0,175.0,41.0,38.0,97.0,96.0,60.0,316.0,151.0,100.0,0.0,133.0,118.0,1380.0
G_39,46.0,133.0,95.0,52.0,78.0,33.0,328.0,53.0,71.0,43.0,148.0,90.0,34.0,131.0,247.0,88.0,163.0,203.0,131.0,132.0,254.0,37.0,93.0,55.0,56.0,128.0,117.0,180.0,236.0,65.0,116.0,112.0,55.0,53.0,92.0,193.0,35.0,57.0,133.0,0.0,230.0,1500.0
G_40,189.0,352.0,146.0,185.0,292.0,213.0,118.0,195.0,287.0,258.0,366.0,308.0,211.0,349.0,37.0,156.0,375.0,421.0,117.0,120.0,43.0,252.0,149.0,191.0,269.0,348.0,136.0,83.0,450.0,283.0,140.0,136.0,194.0,185.0,156.0,413.0,251.0,198.0,118.0,230.0,0.0,1280.0
G_41,1460.0,1620.0,1420.0,1460.0,1560.0,1480.0,1180.0,1460.0,1560.0,1520.0,1640.0,1580.0,1480.0,1620.0,1260.0,1420.0,1640.0,1680.0,1380.0,1380.0,1260.0,1520.0,1420.0,1460.0,1540.0,1620.0,1400.0,1340.0,1720.0,1540.0,1400.0,1400.0,1460.0,1460.0,1420.0,1680.0,1520.0,1460.0,1380.0,1500.0,1280.0,0.0
