Precision,Recall,F1-score,SDTED
1.0,0.92,0.9583333333333334,0.7993501218521527
0.9615384615384616,1.0,0.9803921568627451,0.7506092607636068
0.9615384615384616,1.0,0.9803921568627451,0.8090982940698619
0.9615384615384616,1.0,0.9803921568627451,0.8302193338748984
0.9230769230769231,0.96,0.9411764705882353,0.8399675060926076
1.0,1.0,1.0,0.8813972380178716
0.9583333333333334,0.92,0.9387755102040817,0.7896019496344435
1.0,0.96,0.9795918367346939,0.8285946385052803
0.9259259259259259,1.0,0.9615384615384615,0.809910641754671
0.96,0.96,0.96,0.8545897644191713
0.9259259259259259,1.0,0.9615384615384615,0.7692932575142161
1.0,1.0,1.0,0.80178716490658
0.96,0.96,0.96,0.7668562144597888
0.9615384615384616,1.0,0.9803921568627451,0.7676685621445979
0.9583333333333334,0.92,0.9387755102040817,0.8935824532900081
0.9615384615384616,1.0,0.9803921568627451,0.8082859463850528
0.96,0.96,0.96,0.8748984565393989
0.92,0.92,0.92,0.8399675060926076
1.0,0.92,0.9583333333333334,0.8310316815597075
0.9615384615384616,1.0,0.9803921568627451,0.8789601949634444
0.96,0.96,0.96,0.8375304630381804
0.9230769230769231,0.96,0.9411764705882353,0.7839155158407798
1.0,0.92,0.9583333333333334,0.718927701056052
0.9615384615384616,1.0,0.9803921568627451,0.8082859463850528
0.9615384615384616,1.0,0.9803921568627451,0.80178716490658
1.0,1.0,1.0,0.7595450852965069
0.96,0.96,0.96,0.8212835093419983
1.0,1.0,1.0,0.8586515028432169
1.0,1.0,1.0,0.8220958570268075
0.9230769230769231,0.96,0.9411764705882353,0.8781478472786353
0.9230769230769231,0.96,0.9411764705882353,0.7977254264825345
0.9583333333333334,0.92,0.9387755102040817,0.7197400487408612
0.9259259259259259,1.0,0.9615384615384615,0.7611697806661251
0.9230769230769231,0.96,0.9411764705882353,0.8326563769293258
1.0,0.96,0.9795918367346939,0.8748984565393989
0.96,0.96,0.96,0.8935824532900081
1.0,1.0,1.0,0.8082859463850528
1.0,1.0,1.0,0.7757920389926889
1.0,1.0,1.0,0.8042242079610074
1.0,0.88,0.9361702127659575,0.7587327376116978
0.9565217391304348,0.88,0.9166666666666666,0.7855402112103981
