,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_base,0.0,139.0,137.0,235.0,142.0,255.0,130.0,98.0,252.0,240.0,22.0,236.0,279.0,236.0,350.0,368.0,384.0,24.0,471.0,210.0,315.0,60.0,52.0,171.0,133.0,58.0,314.0,238.0,273.0,354.0,97.0,87.0,157.0,86.0,212.0,199.0,369.0,234.0,267.0,290.0,251.0,142.0,194.0,18.0,58.0,152.0,179.0,256.0,98.0,279.0,88.0,1160.0
G_1,139.0,0.0,257.0,357.0,264.0,144.0,245.0,63.0,378.0,358.0,141.0,135.0,167.0,358.0,475.0,495.0,514.0,141.0,598.0,340.0,439.0,106.0,170.0,297.0,35.0,102.0,432.0,362.0,397.0,476.0,69.0,205.0,278.0,213.0,339.0,324.0,263.0,362.0,163.0,417.0,380.0,263.0,93.0,145.0,177.0,277.0,297.0,377.0,60.0,401.0,88.0,1280.0
G_2,137.0,257.0,0.0,123.0,33.0,381.0,49.0,222.0,145.0,124.0,137.0,357.0,401.0,129.0,240.0,260.0,275.0,144.0,356.0,106.0,204.0,185.0,130.0,59.0,258.0,182.0,204.0,122.0,162.0,241.0,227.0,85.0,52.0,84.0,100.0,80.0,495.0,126.0,394.0,186.0,143.0,33.0,322.0,141.0,103.0,44.0,70.0,137.0,224.0,169.0,205.0,1040.0
G_3,235.0,357.0,123.0,0.0,118.0,481.0,148.0,319.0,45.0,27.0,241.0,458.0,497.0,29.0,142.0,158.0,178.0,240.0,262.0,49.0,111.0,284.0,227.0,84.0,362.0,276.0,105.0,27.0,68.0,142.0,326.0,180.0,109.0,192.0,43.0,63.0,595.0,34.0,500.0,84.0,40.0,131.0,421.0,238.0,198.0,107.0,78.0,48.0,317.0,68.0,304.0,940.0
G_4,142.0,264.0,33.0,118.0,0.0,381.0,47.0,225.0,141.0,121.0,147.0,356.0,398.0,122.0,240.0,253.0,278.0,144.0,362.0,106.0,198.0,182.0,130.0,69.0,260.0,181.0,202.0,125.0,159.0,235.0,226.0,79.0,48.0,95.0,106.0,82.0,498.0,127.0,396.0,176.0,140.0,30.0,316.0,134.0,111.0,55.0,62.0,152.0,228.0,155.0,201.0,1040.0
G_5,255.0,144.0,381.0,481.0,381.0,0.0,364.0,183.0,487.0,478.0,264.0,46.0,53.0,476.0,596.0,616.0,629.0,258.0,711.0,455.0,558.0,223.0,283.0,421.0,145.0,223.0,550.0,485.0,521.0,598.0,181.0,324.0,398.0,330.0,462.0,438.0,146.0,480.0,48.0,532.0,493.0,377.0,87.0,259.0,296.0,398.0,423.0,501.0,189.0,519.0,203.0,1400.0
G_6,130.0,245.0,49.0,148.0,47.0,364.0,0.0,205.0,160.0,140.0,132.0,343.0,382.0,149.0,263.0,282.0,298.0,130.0,381.0,124.0,226.0,160.0,108.0,83.0,247.0,170.0,220.0,143.0,185.0,264.0,209.0,61.0,75.0,72.0,129.0,100.0,480.0,151.0,377.0,208.0,169.0,46.0,300.0,120.0,94.0,77.0,89.0,173.0,215.0,184.0,184.0,1060.0
G_7,98.0,63.0,222.0,319.0,225.0,183.0,205.0,0.0,337.0,318.0,112.0,164.0,203.0,321.0,436.0,457.0,469.0,112.0,556.0,299.0,401.0,69.0,129.0,258.0,70.0,70.0,398.0,324.0,360.0,437.0,32.0,164.0,243.0,179.0,301.0,284.0,298.0,326.0,196.0,376.0,338.0,225.0,126.0,104.0,140.0,238.0,260.0,341.0,29.0,365.0,52.0,1240.0
G_8,252.0,378.0,145.0,45.0,141.0,487.0,160.0,337.0,0.0,43.0,265.0,468.0,513.0,46.0,117.0,141.0,156.0,257.0,232.0,52.0,85.0,291.0,239.0,101.0,376.0,294.0,78.0,45.0,39.0,123.0,334.0,196.0,125.0,204.0,62.0,75.0,614.0,47.0,512.0,61.0,23.0,139.0,432.0,250.0,218.0,126.0,100.0,31.0,335.0,44.0,317.0,920.0
G_9,240.0,358.0,124.0,27.0,121.0,478.0,140.0,318.0,43.0,0.0,246.0,457.0,499.0,18.0,139.0,164.0,179.0,243.0,260.0,51.0,104.0,280.0,228.0,81.0,357.0,278.0,102.0,30.0,71.0,138.0,318.0,176.0,104.0,192.0,52.0,70.0,595.0,39.0,498.0,78.0,42.0,129.0,414.0,237.0,206.0,114.0,85.0,55.0,319.0,63.0,302.0,940.0
