,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,1593.0,3068.0,6694.0,866.0,155.0,1599.0,1578.0,5882.0,4497.0,10294.0,10265.0,852.0,5196.0,6680.0,3034.0,8808.0,188.0,2291.0,1652.0,4498.0,39611.0
G_1,1593.0,0.0,4423.0,5283.0,814.0,1521.0,2956.0,114.0,4409.0,5879.0,8870.0,8821.0,825.0,3746.0,5255.0,1620.0,7399.0,1526.0,822.0,2964.0,3031.0,40908.0
G_2,3068.0,4423.0,0.0,9639.0,3755.0,3004.0,1549.0,4458.0,8803.0,1574.0,13213.0,13194.0,3771.0,8121.0,9623.0,5977.0,11759.0,3013.0,5196.0,1559.0,7400.0,36633.0
G_3,6694.0,5283.0,9639.0,0.0,5993.0,6736.0,8175.0,5274.0,907.0,11075.0,3760.0,3728.0,5990.0,1605.0,150.0,3796.0,2294.0,6741.0,4549.0,8201.0,2346.0,46158.0
G_4,866.0,814.0,3755.0,5993.0,0.0,833.0,2288.0,841.0,5159.0,5202.0,9575.0,9540.0,119.0,4480.0,5958.0,2330.0,8116.0,838.0,1568.0,2289.0,3739.0,40241.0
G_5,155.0,1521.0,3004.0,6736.0,833.0,0.0,1541.0,1542.0,5887.0,4447.0,10291.0,10270.0,850.0,5202.0,6711.0,3060.0,8823.0,131.0,2282.0,1564.0,4484.0,39512.0
G_6,1599.0,2956.0,1549.0,8175.0,2288.0,1541.0,0.0,2978.0,7338.0,2997.0,11762.0,11741.0,2288.0,6660.0,8157.0,4516.0,10282.0,1550.0,3727.0,96.0,5943.0,38040.0
G_7,1578.0,114.0,4458.0,5274.0,841.0,1542.0,2978.0,0.0,4424.0,5917.0,8846.0,8818.0,853.0,3745.0,5251.0,1608.0,7372.0,1567.0,841.0,3010.0,3028.0,40961.0
G_8,5882.0,4409.0,8803.0,907.0,5159.0,5887.0,7338.0,4424.0,0.0,10261.0,4488.0,4441.0,5151.0,819.0,874.0,2985.0,3022.0,5888.0,3685.0,7345.0,1548.0,45294.0
G_9,4497.0,5879.0,1574.0,11075.0,5202.0,4447.0,2997.0,5917.0,10261.0,0.0,14659.0,14643.0,5199.0,9582.0,11056.0,7417.0,13198.0,4474.0,6647.0,2991.0,8847.0,35202.0
G_10,10294.0,8870.0,13213.0,3760.0,9575.0,10291.0,11762.0,8846.0,4488.0,14659.0,0.0,109.0,9574.0,5216.0,3758.0,7380.0,1559.0,10317.0,8132.0,11776.0,5941.0,49728.0
G_11,10265.0,8821.0,13194.0,3728.0,9540.0,10270.0,11741.0,8818.0,4441.0,14643.0,109.0,0.0,9543.0,5175.0,3735.0,7352.0,1541.0,10283.0,8091.0,11735.0,5899.0,49690.0
G_12,852.0,825.0,3771.0,5990.0,119.0,850.0,2288.0,853.0,5151.0,5199.0,9574.0,9543.0,0.0,4480.0,5968.0,2321.0,8088.0,863.0,1579.0,2313.0,3748.0,40266.0
G_13,5196.0,3746.0,8121.0,1605.0,4480.0,5202.0,6660.0,3745.0,819.0,9582.0,5216.0,5175.0,4480.0,0.0,1577.0,2307.0,3734.0,5220.0,3023.0,6673.0,838.0,44629.0
G_14,6680.0,5255.0,9623.0,150.0,5958.0,6711.0,8157.0,5251.0,874.0,11056.0,3758.0,3735.0,5968.0,1577.0,0.0,3785.0,2284.0,6721.0,4517.0,8169.0,2318.0,46133.0
G_15,3034.0,1620.0,5977.0,3796.0,2330.0,3060.0,4516.0,1608.0,2985.0,7417.0,7380.0,7352.0,2321.0,2307.0,3785.0,0.0,5922.0,3078.0,890.0,4539.0,1585.0,42493.0
G_16,8808.0,7399.0,11759.0,2294.0,8116.0,8823.0,10282.0,7372.0,3022.0,13198.0,1559.0,1541.0,8088.0,3734.0,2284.0,5922.0,0.0,8862.0,6664.0,10313.0,4465.0,48276.0
G_17,188.0,1526.0,3013.0,6741.0,838.0,131.0,1550.0,1567.0,5888.0,4474.0,10317.0,10283.0,863.0,5220.0,6721.0,3078.0,8862.0,0.0,2294.0,1553.0,4487.0,39488.0
G_18,2291.0,822.0,5196.0,4549.0,1568.0,2282.0,3727.0,841.0,3685.0,6647.0,8132.0,8091.0,1579.0,3023.0,4517.0,890.0,6664.0,2294.0,0.0,3744.0,2312.0,41703.0
G_19,1652.0,2964.0,1559.0,8201.0,2289.0,1564.0,96.0,3010.0,7345.0,2991.0,11776.0,11735.0,2313.0,6673.0,8169.0,4539.0,10313.0,1553.0,3744.0,0.0,5945.0,37987.0
G_20,4498.0,3031.0,7400.0,2346.0,3739.0,4484.0,5943.0,3028.0,1548.0,8847.0,5941.0,5899.0,3748.0,838.0,2318.0,1585.0,4465.0,4487.0,2312.0,5945.0,0.0,43897.0
G_21,39611.0,40908.0,36633.0,46158.0,40241.0,39512.0,38040.0,40961.0,45294.0,35202.0,49728.0,49690.0,40266.0,44629.0,46133.0,42493.0,48276.0,39488.0,41703.0,37987.0,43897.0,0.0
