,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,208.0,58.0,350.0,262.0,94.0,158.0,139.0,112.0,128.0,214.0,192.0,114.0,114.0,48.0,127.0,112.0,41.0,73.0,52.0,94.0,76.0,45.0,72.0,100.0,90.0,89.0,77.0,126.0,54.0,214.0,43.0,52.0,12.0,117.0,176.0,175.0,72.0,39.0,26.0,132.0,1460.0
G_1,208.0,0.0,174.0,549.0,464.0,132.0,353.0,100.0,306.0,93.0,21.0,43.0,308.0,315.0,247.0,327.0,313.0,194.0,270.0,247.0,131.0,154.0,198.0,153.0,137.0,290.0,134.0,274.0,329.0,174.0,14.0,195.0,251.0,213.0,312.0,366.0,373.0,150.0,238.0,218.0,323.0,1660.0
G_2,58.0,174.0,0.0,394.0,311.0,57.0,199.0,94.0,150.0,97.0,173.0,151.0,154.0,164.0,97.0,170.0,163.0,38.0,112.0,98.0,56.0,33.0,41.0,36.0,55.0,138.0,60.0,121.0,175.0,23.0,178.0,46.0,98.0,61.0,161.0,214.0,225.0,35.0,89.0,69.0,170.0,1500.0
G_3,350.0,549.0,394.0,0.0,92.0,434.0,220.0,479.0,256.0,470.0,555.0,535.0,255.0,252.0,330.0,236.0,253.0,375.0,294.0,311.0,433.0,414.0,375.0,411.0,433.0,273.0,434.0,295.0,236.0,390.0,551.0,380.0,314.0,354.0,255.0,199.0,193.0,414.0,335.0,354.0,236.0,1120.0
G_4,262.0,464.0,311.0,92.0,0.0,351.0,146.0,394.0,174.0,386.0,472.0,447.0,174.0,176.0,259.0,149.0,174.0,295.0,209.0,226.0,348.0,328.0,291.0,326.0,349.0,190.0,347.0,218.0,149.0,309.0,468.0,297.0,230.0,266.0,177.0,118.0,121.0,327.0,253.0,278.0,151.0,1200.0
G_5,94.0,132.0,57.0,434.0,351.0,0.0,232.0,59.0,191.0,55.0,137.0,114.0,190.0,197.0,132.0,210.0,196.0,79.0,155.0,132.0,17.0,39.0,80.0,35.0,21.0,171.0,12.0,150.0,213.0,54.0,138.0,79.0,129.0,93.0,195.0,248.0,253.0,36.0,123.0,100.0,212.0,1540.0
G_6,158.0,353.0,199.0,220.0,146.0,232.0,0.0,282.0,62.0,270.0,355.0,328.0,62.0,61.0,139.0,43.0,57.0,176.0,107.0,120.0,233.0,219.0,187.0,211.0,238.0,78.0,235.0,95.0,47.0,192.0,361.0,172.0,116.0,157.0,57.0,42.0,44.0,220.0,137.0,156.0,42.0,1320.0
G_7,139.0,100.0,94.0,479.0,394.0,59.0,282.0,0.0,232.0,26.0,102.0,81.0,232.0,242.0,176.0,254.0,242.0,115.0,196.0,178.0,61.0,79.0,118.0,80.0,60.0,220.0,63.0,203.0,258.0,102.0,98.0,125.0,177.0,142.0,243.0,291.0,302.0,75.0,172.0,140.0,252.0,1580.0
G_8,112.0,306.0,150.0,256.0,174.0,191.0,62.0,232.0,0.0,228.0,312.0,287.0,19.0,25.0,110.0,30.0,23.0,129.0,55.0,77.0,187.0,171.0,137.0,168.0,191.0,35.0,192.0,59.0,37.0,151.0,314.0,137.0,77.0,119.0,23.0,71.0,81.0,169.0,100.0,118.0,33.0,1360.0
G_9,128.0,93.0,97.0,470.0,386.0,55.0,270.0,26.0,228.0,0.0,97.0,74.0,227.0,230.0,164.0,247.0,230.0,118.0,192.0,169.0,53.0,75.0,119.0,68.0,58.0,207.0,51.0,190.0,250.0,92.0,100.0,119.0,167.0,131.0,231.0,292.0,295.0,72.0,160.0,137.0,248.0,1580.0
G_10,214.0,21.0,173.0,555.0,472.0,137.0,355.0,102.0,312.0,97.0,0.0,38.0,313.0,318.0,245.0,331.0,312.0,197.0,278.0,257.0,134.0,151.0,203.0,153.0,139.0,296.0,139.0,272.0,336.0,181.0,19.0,198.0,253.0,219.0,319.0,374.0,372.0,157.0,237.0,223.0,333.0,1660.0
G_11,192.0,43.0,151.0,535.0,447.0,114.0,328.0,81.0,287.0,74.0,38.0,0.0,292.0,294.0,220.0,305.0,291.0,172.0,254.0,230.0,110.0,135.0,177.0,128.0,115.0,269.0,114.0,248.0,309.0,152.0,48.0,174.0,231.0,195.0,291.0,347.0,357.0,134.0,213.0,196.0,307.0,1640.0
G_12,114.0,308.0,154.0,255.0,174.0,190.0,62.0,232.0,19.0,227.0,313.0,292.0,0.0,23.0,111.0,36.0,24.0,137.0,55.0,74.0,193.0,174.0,137.0,171.0,191.0,34.0,188.0,61.0,37.0,156.0,312.0,136.0,74.0,114.0,27.0,76.0,84.0,170.0,107.0,121.0,37.0,1360.0
G_13,114.0,315.0,164.0,252.0,176.0,197.0,61.0,242.0,25.0,230.0,318.0,294.0,23.0,0.0,97.0,43.0,17.0,142.0,67.0,82.0,196.0,182.0,145.0,173.0,200.0,38.0,193.0,58.0,40.0,154.0,317.0,140.0,77.0,119.0,20.0,84.0,78.0,177.0,101.0,116.0,40.0,1360.0
G_14,48.0,247.0,97.0,330.0,259.0,132.0,139.0,176.0,110.0,164.0,245.0,220.0,111.0,97.0,0.0,126.0,97.0,76.0,73.0,49.0,125.0,114.0,80.0,107.0,135.0,83.0,128.0,66.0,126.0,82.0,253.0,68.0,47.0,51.0,100.0,166.0,155.0,117.0,22.0,45.0,128.0,1440.0
G_15,127.0,327.0,170.0,236.0,149.0,210.0,43.0,254.0,30.0,247.0,331.0,305.0,36.0,43.0,126.0,0.0,38.0,152.0,70.0,92.0,205.0,188.0,158.0,187.0,214.0,51.0,207.0,75.0,14.0,169.0,335.0,154.0,91.0,132.0,38.0,54.0,63.0,189.0,115.0,139.0,12.0,1340.0
G_16,112.0,313.0,163.0,253.0,174.0,196.0,57.0,242.0,23.0,230.0,312.0,291.0,24.0,17.0,97.0,38.0,0.0,140.0,65.0,77.0,194.0,176.0,144.0,170.0,198.0,35.0,191.0,55.0,39.0,151.0,319.0,139.0,73.0,112.0,20.0,80.0,74.0,179.0,97.0,116.0,42.0,1360.0
G_17,41.0,194.0,38.0,375.0,295.0,79.0,176.0,115.0,129.0,118.0,197.0,172.0,137.0,142.0,76.0,152.0,140.0,0.0,98.0,80.0,75.0,57.0,24.0,56.0,77.0,116.0,84.0,101.0,156.0,43.0,199.0,23.0,81.0,48.0,141.0,190.0,201.0,56.0,66.0,44.0,152.0,1480.0
G_18,73.0,270.0,112.0,294.0,209.0,155.0,107.0,196.0,55.0,192.0,278.0,254.0,55.0,67.0,73.0,70.0,65.0,98.0,0.0,38.0,155.0,133.0,99.0,135.0,157.0,38.0,150.0,27.0,73.0,115.0,276.0,101.0,40.0,75.0,64.0,116.0,128.0,133.0,64.0,86.0,76.0,1400.0
