,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,888.0,8610.0,1645.0,159.0,1654.0,161.0,1678.0,192.0,890.0,849.0,882.0,3953.0,3920.0,5489.0,10844.0,2406.0,170.0,1671.0,3920.0,2395.0,44079.0
G_1,888.0,0.0,9324.0,2404.0,863.0,867.0,877.0,888.0,873.0,98.0,1637.0,1664.0,3173.0,3182.0,4728.0,10062.0,1635.0,876.0,875.0,3170.0,1641.0,44776.0
G_2,8610.0,9324.0,0.0,7051.0,8539.0,10093.0,8625.0,10135.0,8544.0,9336.0,7809.0,7816.0,12409.0,12406.0,13971.0,19308.0,10880.0,8585.0,10098.0,12409.0,10857.0,35565.0
G_3,1645.0,2404.0,7051.0,0.0,1635.0,3179.0,1671.0,3187.0,1665.0,2400.0,910.0,920.0,5481.0,5463.0,7029.0,12375.0,3946.0,1640.0,3190.0,5471.0,3924.0,42536.0
G_4,159.0,863.0,8539.0,1635.0,0.0,1634.0,179.0,1679.0,94.0,879.0,888.0,888.0,3949.0,3962.0,5487.0,10836.0,2420.0,144.0,1632.0,3953.0,2412.0,43981.0
G_5,1654.0,867.0,10093.0,3179.0,1634.0,0.0,1655.0,173.0,1641.0,886.0,2422.0,2414.0,2427.0,2434.0,3960.0,9313.0,892.0,1661.0,108.0,2425.0,876.0,45512.0
G_6,161.0,877.0,8625.0,1671.0,179.0,1655.0,0.0,1675.0,152.0,898.0,943.0,911.0,3967.0,3941.0,5491.0,10840.0,2429.0,172.0,1677.0,3953.0,2413.0,44068.0
G_7,1678.0,888.0,10135.0,3187.0,1679.0,173.0,1675.0,0.0,1697.0,875.0,2460.0,2463.0,2420.0,2433.0,3959.0,9296.0,871.0,1665.0,163.0,2419.0,902.0,45595.0
G_8,192.0,873.0,8544.0,1665.0,94.0,1641.0,152.0,1697.0,0.0,900.0,903.0,892.0,3984.0,3976.0,5509.0,10840.0,2445.0,165.0,1653.0,3976.0,2433.0,43961.0
G_9,890.0,98.0,9336.0,2400.0,879.0,886.0,898.0,875.0,900.0,0.0,1652.0,1653.0,3164.0,3172.0,4722.0,10060.0,1639.0,890.0,887.0,3153.0,1627.0,44792.0
G_10,849.0,1637.0,7809.0,910.0,888.0,2422.0,943.0,2460.0,903.0,1652.0,0.0,138.0,4725.0,4706.0,6270.0,11608.0,3198.0,924.0,2444.0,4707.0,3181.0,43281.0
G_11,882.0,1664.0,7816.0,920.0,888.0,2414.0,911.0,2463.0,892.0,1653.0,138.0,0.0,4746.0,4693.0,6274.0,11623.0,3186.0,946.0,2413.0,4705.0,3187.0,43256.0
G_12,3953.0,3173.0,12409.0,5481.0,3949.0,2427.0,3967.0,2420.0,3984.0,3164.0,4725.0,4746.0,0.0,167.0,1648.0,6982.0,1673.0,3937.0,2442.0,139.0,1645.0,47877.0
G_13,3920.0,3182.0,12406.0,5463.0,3962.0,2434.0,3941.0,2433.0,3976.0,3172.0,4706.0,4693.0,167.0,0.0,1662.0,7022.0,1635.0,3970.0,2408.0,113.0,1650.0,47849.0
G_14,5489.0,4728.0,13971.0,7029.0,5487.0,3960.0,5491.0,3959.0,5509.0,4722.0,6270.0,6274.0,1648.0,1662.0,0.0,5447.0,3193.0,5494.0,3977.0,1653.0,3185.0,49406.0
G_15,10844.0,10062.0,19308.0,12375.0,10836.0,9313.0,10840.0,9296.0,10840.0,10060.0,11608.0,11623.0,6982.0,7022.0,5447.0,0.0,8550.0,10842.0,9325.0,7001.0,8534.0,54746.0
G_16,2406.0,1635.0,10880.0,3946.0,2420.0,892.0,2429.0,871.0,2445.0,1639.0,3198.0,3186.0,1673.0,1635.0,3193.0,8550.0,0.0,2428.0,887.0,1623.0,126.0,46323.0
G_17,170.0,876.0,8585.0,1640.0,144.0,1661.0,172.0,1665.0,165.0,890.0,924.0,946.0,3937.0,3970.0,5494.0,10842.0,2428.0,0.0,1683.0,3958.0,2430.0,44062.0
G_18,1671.0,875.0,10098.0,3190.0,1632.0,108.0,1677.0,163.0,1653.0,887.0,2444.0,2413.0,2442.0,2408.0,3977.0,9325.0,887.0,1683.0,0.0,2427.0,881.0,45516.0
G_19,3920.0,3170.0,12409.0,5471.0,3953.0,2425.0,3953.0,2419.0,3976.0,3153.0,4707.0,4705.0,139.0,113.0,1653.0,7001.0,1623.0,3958.0,2427.0,0.0,1630.0,47865.0
G_20,2395.0,1641.0,10857.0,3924.0,2412.0,876.0,2413.0,902.0,2433.0,1627.0,3181.0,3187.0,1645.0,1650.0,3185.0,8534.0,126.0,2430.0,881.0,1630.0,0.0,46311.0
G_21,44079.0,44776.0,35565.0,42536.0,43981.0,45512.0,44068.0,45595.0,43961.0,44792.0,43281.0,43256.0,47877.0,47849.0,49406.0,54746.0,46323.0,44062.0,45516.0,47865.0,46311.0,0.0
