,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,14.0,72.0,19.0,59.0,105.0,40.0,108.0,140.0,58.0,345.0,58.0,30.0,64.0,47.0,181.0,47.0,154.0,147.0,130.0,167.0,57.0,188.0,229.0,34.0,183.0,148.0,132.0,33.0,147.0,36.0,109.0,187.0,89.0,17.0,143.0,146.0,136.0,151.0,109.0,77.0,1460.0
G_1,14.0,0.0,74.0,16.0,61.0,108.0,39.0,113.0,141.0,58.0,352.0,60.0,36.0,63.0,52.0,192.0,49.0,154.0,155.0,130.0,175.0,61.0,187.0,231.0,32.0,193.0,148.0,132.0,39.0,154.0,39.0,110.0,191.0,92.0,20.0,148.0,146.0,138.0,150.0,108.0,72.0,1460.0
G_2,72.0,74.0,0.0,69.0,108.0,166.0,48.0,45.0,79.0,34.0,290.0,31.0,96.0,114.0,112.0,134.0,104.0,211.0,91.0,72.0,117.0,31.0,245.0,284.0,89.0,129.0,94.0,69.0,49.0,98.0,88.0,165.0,130.0,154.0,67.0,207.0,205.0,188.0,89.0,53.0,131.0,1400.0
G_3,19.0,16.0,69.0,0.0,57.0,110.0,37.0,109.0,139.0,53.0,351.0,56.0,43.0,60.0,57.0,192.0,49.0,154.0,153.0,129.0,179.0,58.0,189.0,228.0,30.0,194.0,152.0,132.0,34.0,156.0,35.0,111.0,192.0,97.0,14.0,155.0,147.0,132.0,149.0,107.0,70.0,1460.0
G_4,59.0,61.0,108.0,57.0,0.0,75.0,70.0,147.0,172.0,93.0,391.0,95.0,43.0,19.0,21.0,237.0,15.0,115.0,193.0,170.0,217.0,91.0,148.0,190.0,38.0,226.0,195.0,172.0,74.0,203.0,32.0,76.0,234.0,62.0,53.0,117.0,113.0,94.0,189.0,153.0,37.0,1500.0
G_5,105.0,108.0,166.0,110.0,75.0,0.0,133.0,203.0,234.0,152.0,445.0,154.0,92.0,81.0,69.0,285.0,65.0,58.0,246.0,224.0,270.0,152.0,91.0,133.0,89.0,287.0,247.0,229.0,128.0,249.0,94.0,11.0,287.0,34.0,110.0,51.0,50.0,40.0,247.0,206.0,57.0,1560.0
G_6,40.0,39.0,48.0,37.0,70.0,133.0,0.0,91.0,117.0,37.0,337.0,39.0,63.0,72.0,79.0,178.0,71.0,173.0,134.0,115.0,157.0,30.0,207.0,248.0,54.0,172.0,139.0,112.0,16.0,142.0,52.0,129.0,171.0,119.0,33.0,174.0,168.0,149.0,130.0,98.0,91.0,1440.0
G_7,108.0,113.0,45.0,109.0,147.0,203.0,91.0,0.0,38.0,72.0,248.0,72.0,132.0,154.0,145.0,94.0,144.0,251.0,50.0,33.0,79.0,71.0,284.0,322.0,128.0,91.0,56.0,31.0,87.0,60.0,129.0,206.0,91.0,191.0,107.0,244.0,246.0,226.0,49.0,13.0,171.0,1360.0
G_8,140.0,141.0,79.0,139.0,172.0,234.0,117.0,38.0,0.0,98.0,237.0,101.0,159.0,174.0,179.0,86.0,173.0,274.0,41.0,20.0,67.0,98.0,310.0,352.0,157.0,76.0,49.0,22.0,117.0,52.0,156.0,236.0,80.0,215.0,138.0,273.0,273.0,254.0,40.0,46.0,199.0,1340.0
G_9,58.0,58.0,34.0,53.0,93.0,152.0,37.0,72.0,98.0,0.0,309.0,22.0,75.0,97.0,95.0,158.0,90.0,190.0,115.0,93.0,137.0,17.0,226.0,270.0,73.0,153.0,113.0,90.0,37.0,123.0,75.0,151.0,147.0,131.0,54.0,192.0,190.0,174.0,116.0,75.0,112.0,1420.0
G_10,345.0,352.0,290.0,351.0,391.0,445.0,337.0,248.0,237.0,309.0,0.0,312.0,368.0,396.0,388.0,169.0,385.0,487.0,208.0,233.0,188.0,315.0,526.0,564.0,370.0,171.0,211.0,232.0,331.0,207.0,371.0,449.0,173.0,426.0,349.0,486.0,487.0,470.0,212.0,252.0,413.0,1120.0
G_11,58.0,60.0,31.0,56.0,95.0,154.0,39.0,72.0,101.0,22.0,312.0,0.0,82.0,99.0,98.0,156.0,91.0,192.0,114.0,92.0,142.0,18.0,229.0,268.0,74.0,154.0,118.0,96.0,35.0,122.0,67.0,152.0,156.0,141.0,56.0,193.0,193.0,169.0,112.0,75.0,112.0,1420.0
