Precision,Recall,F1-score,SDTED
1.0,1.0,1.0,0.7407407407407407
1.0,0.9545454545454546,0.9767441860465117,0.8172043010752688
1.0,1.0,1.0,0.8661887694145759
0.9565217391304348,1.0,0.9777777777777777,0.8207885304659498
1.0,0.9545454545454546,0.9767441860465117,0.8124253285543608
1.0,0.9545454545454546,0.9767441860465117,0.8900836320191159
0.9565217391304348,1.0,0.9777777777777777,0.8781362007168458
1.0,1.0,1.0,0.7120669056152927
1.0,1.0,1.0,0.8769414575866189
0.9565217391304348,1.0,0.9777777777777777,0.8781362007168458
0.9565217391304348,1.0,0.9777777777777777,0.8446833930704898
1.0,0.9545454545454546,0.9767441860465117,0.8219832735961768
1.0,1.0,1.0,0.8972520908004779
1.0,1.0,1.0,0.8661887694145759
1.0,0.9545454545454546,0.9767441860465117,0.8243727598566308
1.0,1.0,1.0,0.7789725209080047
1.0,1.0,1.0,0.7574671445639187
1.0,0.9545454545454546,0.9767441860465117,0.7025089605734767
1.0,0.9545454545454546,0.9767441860465117,0.8243727598566308
1.0,0.9545454545454546,0.9767441860465117,0.8327359617682198
