,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_38,2751.0,448.0,445.0,1322.0,882.0,11.0,666.0,1981.0,12.0,230.0,1328.0,1541.0,445.0,12.0,10.0,229.0,1321.0,225.0,224.0,12.0,452.0,1762.0,664.0,668.0,221.0,1109.0,223.0,887.0,1109.0,1107.0,881.0,10.0,661.0,1549.0,228.0,1541.0,1546.0,1102.0,0.0,445.0,1760.0,1101.0,445.0,1109.0,1108.0,881.0,667.0,1329.0,889.0,230.0,1216.0,3630.0
G_39,3190.0,889.0,886.0,1763.0,1325.0,455.0,232.0,1541.0,453.0,233.0,891.0,1103.0,889.0,453.0,449.0,670.0,887.0,668.0,661.0,453.0,20.0,1326.0,229.0,231.0,225.0,672.0,667.0,453.0,669.0,673.0,1323.0,452.0,223.0,1111.0,670.0,1101.0,1108.0,667.0,445.0,0.0,1324.0,661.0,883.0,669.0,671.0,443.0,229.0,891.0,454.0,235.0,778.0,3190.0
G_40,4510.0,2201.0,2200.0,3080.0,2640.0,1762.0,1106.0,233.0,1763.0,1543.0,452.0,235.0,2202.0,1763.0,1768.0,1983.0,442.0,1984.0,1982.0,1761.0,1327.0,2.0,1108.0,1108.0,1540.0,671.0,1982.0,885.0,667.0,671.0,2640.0,1762.0,1104.0,231.0,1980.0,237.0,230.0,666.0,1760.0,1324.0,0.0,669.0,2202.0,671.0,670.0,886.0,1109.0,452.0,887.0,1543.0,561.0,1870.0
G_41,3850.0,1546.0,1544.0,2422.0,1982.0,1110.0,451.0,880.0,1110.0,890.0,235.0,442.0,1544.0,1108.0,1104.0,1326.0,234.0,1320.0,1320.0,1110.0,672.0,671.0,444.0,449.0,881.0,18.0,1320.0,234.0,16.0,18.0,1980.0,1109.0,440.0,456.0,1327.0,440.0,452.0,14.0,1101.0,661.0,669.0,0.0,1542.0,16.0,19.0,220.0,448.0,232.0,236.0,890.0,124.0,2530.0
G_42,2310.0,10.0,7.0,881.0,445.0,447.0,1100.0,2422.0,446.0,662.0,1760.0,1982.0,8.0,446.0,442.0,229.0,1764.0,225.0,224.0,444.0,887.0,2204.0,1102.0,1102.0,664.0,1543.0,224.0,1324.0,1542.0,1542.0,442.0,447.0,1104.0,1980.0,227.0,1982.0,1982.0,1542.0,445.0,883.0,2202.0,1542.0,0.0,1542.0,1540.0,1324.0,1102.0,1760.0,1327.0,664.0,1652.0,4070.0
G_43,3850.0,1540.0,1545.0,2423.0,1985.0,1103.0,445.0,888.0,1100.0,884.0,224.0,456.0,1542.0,1102.0,1100.0,1325.0,232.0,1325.0,1326.0,1102.0,667.0,673.0,448.0,444.0,888.0,4.0,1324.0,228.0,4.0,4.0,1982.0,1103.0,452.0,442.0,1321.0,452.0,441.0,8.0,1109.0,669.0,671.0,16.0,1542.0,0.0,6.0,234.0,442.0,226.0,229.0,884.0,112.0,2530.0
G_44,3850.0,1542.0,1544.0,2420.0,1984.0,1102.0,442.0,891.0,1102.0,886.0,220.0,457.0,1542.0,1104.0,1102.0,1325.0,235.0,1326.0,1325.0,1102.0,667.0,670.0,448.0,444.0,889.0,5.0,1325.0,232.0,10.0,8.0,1982.0,1102.0,454.0,443.0,1320.0,455.0,444.0,6.0,1108.0,671.0,670.0,19.0,1540.0,6.0,0.0,237.0,446.0,227.0,232.0,886.0,114.0,2530.0
G_45,3630.0,1326.0,1324.0,2202.0,1762.0,890.0,233.0,1100.0,890.0,672.0,454.0,662.0,1324.0,888.0,886.0,1106.0,450.0,1100.0,1100.0,890.0,452.0,888.0,226.0,231.0,661.0,236.0,1100.0,14.0,234.0,236.0,1760.0,889.0,220.0,674.0,1107.0,660.0,670.0,232.0,881.0,443.0,886.0,220.0,1324.0,234.0,237.0,0.0,230.0,452.0,16.0,670.0,342.0,2750.0
G_46,3410.0,1102.0,1105.0,1983.0,1545.0,669.0,7.0,1326.0,664.0,446.0,664.0,886.0,1104.0,666.0,662.0,885.0,670.0,885.0,884.0,666.0,231.0,1111.0,6.0,6.0,448.0,444.0,884.0,228.0,444.0,444.0,1542.0,665.0,12.0,882.0,885.0,884.0,883.0,444.0,667.0,229.0,1109.0,448.0,1102.0,442.0,446.0,230.0,0.0,662.0,231.0,448.0,550.0,2970.0
G_47,4070.0,1760.0,1763.0,2641.0,2205.0,1325.0,663.0,670.0,1320.0,1102.0,7.0,232.0,1762.0,1320.0,1322.0,1543.0,20.0,1543.0,1546.0,1320.0,883.0,454.0,666.0,663.0,1110.0,225.0,1544.0,446.0,226.0,228.0,2202.0,1323.0,672.0,224.0,1541.0,232.0,227.0,229.0,1329.0,891.0,452.0,232.0,1760.0,226.0,227.0,452.0,662.0,0.0,449.0,1102.0,117.0,2310.0
G_48,3630.0,1321.0,1322.0,2203.0,1763.0,883.0,230.0,1108.0,883.0,665.0,450.0,674.0,1321.0,885.0,889.0,1104.0,448.0,1105.0,1106.0,885.0,444.0,889.0,234.0,232.0,670.0,228.0,1104.0,7.0,225.0,227.0,1761.0,885.0,234.0,665.0,1103.0,674.0,665.0,230.0,889.0,454.0,887.0,236.0,1327.0,229.0,232.0,16.0,231.0,449.0,0.0,667.0,338.0,2750.0
G_49,2970.0,660.0,665.0,1543.0,1103.0,227.0,448.0,1768.0,222.0,6.0,1106.0,1328.0,664.0,220.0,230.0,443.0,1102.0,446.0,448.0,222.0,229.0,1545.0,454.0,448.0,13.0,886.0,446.0,662.0,884.0,884.0,1102.0,226.0,450.0,1324.0,441.0,1330.0,1324.0,886.0,230.0,235.0,1543.0,890.0,664.0,884.0,886.0,670.0,448.0,1102.0,667.0,0.0,994.0,3410.0
G_50,3960.0,1650.0,1654.0,2532.0,2094.0,1212.0,554.0,778.0,1210.0,994.0,114.0,344.0,1652.0,1212.0,1210.0,1432.0,123.0,1434.0,1433.0,1212.0,776.0,563.0,554.0,552.0,997.0,112.0,1433.0,336.0,116.0,114.0,2092.0,1210.0,561.0,333.0,1430.0,342.0,333.0,114.0,1216.0,778.0,561.0,124.0,1652.0,112.0,114.0,342.0,550.0,117.0,338.0,994.0,0.0,2420.0
G_51,6380.0,4070.0,4070.0,4950.0,4510.0,3630.0,2970.0,1650.0,3630.0,3410.0,2310.0,2090.0,4070.0,3630.0,3630.0,3850.0,2310.0,3850.0,3850.0,3630.0,3190.0,1870.0,2970.0,2970.0,3410.0,2530.0,3850.0,2750.0,2530.0,2530.0,4510.0,3630.0,2970.0,2090.0,3850.0,2090.0,2090.0,2530.0,3630.0,3190.0,1870.0,2530.0,4070.0,2530.0,2530.0,2750.0,2970.0,2310.0,2750.0,3410.0,2420.0,0.0
