,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,2399.0,3960.0,9184.0,6963.0,4724.0,196.0,921.0,929.0,6156.0,5376.0,924.0,4008.0,1661.0,3883.0,218.0,3922.0,5407.0,905.0,891.0,917.0,41252.0
G_1,2399.0,0.0,6190.0,6910.0,4708.0,6921.0,2395.0,3125.0,3137.0,3881.0,3103.0,3139.0,6192.0,896.0,1624.0,2415.0,6167.0,3125.0,1636.0,1656.0,3123.0,43435.0
G_2,3960.0,6190.0,0.0,13003.0,10764.0,892.0,3857.0,3102.0,3136.0,9955.0,9167.0,3160.0,110.0,5473.0,7701.0,3849.0,116.0,9208.0,4706.0,4702.0,3146.0,37325.0
G_3,9184.0,6910.0,13003.0,0.0,2396.0,13753.0,9192.0,9949.0,9951.0,3127.0,3872.0,9945.0,12985.0,7671.0,5382.0,9184.0,12984.0,3882.0,8424.0,8428.0,9947.0,50229.0
G_4,6963.0,4708.0,10764.0,2396.0,0.0,11522.0,6994.0,7725.0,7723.0,889.0,1690.0,7718.0,10797.0,5430.0,3189.0,7002.0,10747.0,1661.0,6195.0,6200.0,7729.0,48030.0
G_5,4724.0,6921.0,892.0,13753.0,11522.0,0.0,4629.0,3883.0,3910.0,10720.0,9924.0,3908.0,861.0,6244.0,8445.0,4637.0,888.0,9952.0,5448.0,5466.0,3881.0,36598.0
G_6,196.0,2395.0,3857.0,9192.0,6994.0,4629.0,0.0,848.0,851.0,6184.0,5351.0,884.0,3858.0,1717.0,3902.0,60.0,3870.0,5402.0,921.0,905.0,877.0,41092.0
G_7,921.0,3125.0,3102.0,9949.0,7725.0,3883.0,848.0,0.0,111.0,6899.0,6120.0,112.0,3123.0,2435.0,4646.0,860.0,3103.0,6161.0,1657.0,1666.0,97.0,40363.0
G_8,929.0,3137.0,3136.0,9951.0,7723.0,3910.0,851.0,111.0,0.0,6911.0,6120.0,149.0,3150.0,2442.0,4652.0,854.0,3135.0,6159.0,1653.0,1643.0,137.0,40386.0
G_9,6156.0,3881.0,9955.0,3127.0,889.0,10720.0,6184.0,6899.0,6911.0,0.0,884.0,6918.0,9977.0,4644.0,2391.0,6199.0,9925.0,884.0,5400.0,5411.0,6913.0,47210.0
G_10,5376.0,3103.0,9167.0,3872.0,1690.0,9924.0,5351.0,6120.0,6120.0,884.0,0.0,6121.0,9156.0,3893.0,1600.0,5366.0,9160.0,101.0,4632.0,4606.0,6121.0,46402.0
G_11,924.0,3139.0,3160.0,9945.0,7718.0,3908.0,884.0,112.0,149.0,6918.0,6121.0,0.0,3181.0,2435.0,4646.0,900.0,3153.0,6157.0,1657.0,1682.0,127.0,40425.0
G_12,4008.0,6192.0,110.0,12985.0,10797.0,861.0,3858.0,3123.0,3150.0,9977.0,9156.0,3181.0,0.0,5514.0,7704.0,3854.0,160.0,9217.0,4725.0,4729.0,3163.0,37266.0
G_13,1661.0,896.0,5473.0,7671.0,5430.0,6244.0,1717.0,2435.0,2442.0,4644.0,3893.0,2435.0,5514.0,0.0,2402.0,1730.0,5455.0,3892.0,928.0,935.0,2435.0,42753.0
G_14,3883.0,1624.0,7701.0,5382.0,3189.0,8445.0,3902.0,4646.0,4652.0,2391.0,1600.0,4646.0,7704.0,2402.0,0.0,3919.0,7681.0,1623.0,3121.0,3132.0,4643.0,44950.0
G_15,218.0,2415.0,3849.0,9184.0,7002.0,4637.0,60.0,860.0,854.0,6199.0,5366.0,900.0,3854.0,1730.0,3919.0,0.0,3874.0,5417.0,930.0,930.0,885.0,41082.0
G_16,3922.0,6167.0,116.0,12984.0,10747.0,888.0,3870.0,3103.0,3135.0,9925.0,9160.0,3153.0,160.0,5455.0,7681.0,3874.0,0.0,9184.0,4678.0,4670.0,3129.0,37401.0
G_17,5407.0,3125.0,9208.0,3882.0,1661.0,9952.0,5402.0,6161.0,6159.0,884.0,101.0,6157.0,9217.0,3892.0,1623.0,5417.0,9184.0,0.0,4632.0,4626.0,6168.0,46455.0
G_18,905.0,1636.0,4706.0,8424.0,6195.0,5448.0,921.0,1657.0,1653.0,5400.0,4632.0,1657.0,4725.0,928.0,3121.0,930.0,4678.0,4632.0,0.0,158.0,1646.0,41965.0
G_19,891.0,1656.0,4702.0,8428.0,6200.0,5466.0,905.0,1666.0,1643.0,5411.0,4606.0,1682.0,4729.0,935.0,3132.0,930.0,4670.0,4626.0,158.0,0.0,1665.0,41968.0
G_20,917.0,3123.0,3146.0,9947.0,7729.0,3881.0,877.0,97.0,137.0,6913.0,6121.0,127.0,3163.0,2435.0,4643.0,885.0,3129.0,6168.0,1646.0,1665.0,0.0,40403.0
G_21,41252.0,43435.0,37325.0,50229.0,48030.0,36598.0,41092.0,40363.0,40386.0,47210.0,46402.0,40425.0,37266.0,42753.0,44950.0,41082.0,37401.0,46455.0,41965.0,41968.0,40403.0,0.0
