,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,69.0,56.0,55.0,208.0,113.0,38.0,17.0,190.0,231.0,192.0,190.0,116.0,31.0,38.0,58.0,247.0,264.0,248.0,130.0,148.0,35.0,80.0,101.0,88.0,62.0,250.0,288.0,197.0,96.0,91.0,179.0,95.0,169.0,32.0,92.0,64.0,113.0,250.0,94.0,57.0,1460.0
G_1,69.0,0.0,36.0,33.0,151.0,56.0,101.0,75.0,131.0,173.0,251.0,246.0,59.0,95.0,58.0,119.0,312.0,328.0,191.0,189.0,89.0,91.0,134.0,159.0,32.0,40.0,190.0,233.0,137.0,157.0,30.0,120.0,37.0,114.0,53.0,41.0,122.0,50.0,189.0,149.0,113.0,1520.0
G_2,56.0,36.0,0.0,17.0,174.0,72.0,80.0,59.0,151.0,191.0,229.0,230.0,72.0,77.0,30.0,98.0,296.0,309.0,211.0,171.0,110.0,73.0,117.0,135.0,50.0,17.0,213.0,251.0,158.0,141.0,59.0,135.0,58.0,132.0,35.0,55.0,100.0,76.0,208.0,129.0,98.0,1500.0
G_3,55.0,33.0,17.0,0.0,170.0,75.0,88.0,54.0,146.0,187.0,229.0,227.0,70.0,80.0,39.0,99.0,294.0,311.0,206.0,173.0,109.0,74.0,112.0,136.0,50.0,20.0,208.0,249.0,153.0,139.0,54.0,137.0,56.0,129.0,38.0,57.0,101.0,71.0,206.0,131.0,93.0,1500.0
G_4,208.0,151.0,174.0,170.0,0.0,112.0,234.0,205.0,34.0,38.0,387.0,387.0,120.0,233.0,193.0,253.0,450.0,467.0,53.0,325.0,70.0,230.0,265.0,290.0,129.0,172.0,54.0,92.0,37.0,293.0,131.0,61.0,130.0,56.0,189.0,135.0,258.0,110.0,54.0,288.0,250.0,1660.0
G_5,113.0,56.0,72.0,75.0,112.0,0.0,137.0,118.0,93.0,132.0,288.0,289.0,19.0,140.0,94.0,161.0,352.0,366.0,151.0,229.0,55.0,131.0,167.0,186.0,35.0,71.0,146.0,186.0,99.0,195.0,40.0,73.0,34.0,76.0,94.0,39.0,163.0,18.0,147.0,189.0,158.0,1560.0
G_6,38.0,101.0,80.0,88.0,234.0,137.0,0.0,50.0,215.0,260.0,176.0,183.0,147.0,18.0,60.0,48.0,232.0,245.0,281.0,122.0,179.0,25.0,66.0,79.0,118.0,81.0,279.0,318.0,223.0,78.0,124.0,203.0,119.0,200.0,62.0,118.0,47.0,141.0,277.0,81.0,54.0,1440.0
G_7,17.0,75.0,59.0,54.0,205.0,118.0,50.0,0.0,192.0,233.0,193.0,187.0,117.0,43.0,41.0,56.0,250.0,271.0,249.0,131.0,147.0,38.0,76.0,105.0,86.0,67.0,252.0,288.0,197.0,105.0,91.0,179.0,99.0,171.0,35.0,101.0,62.0,113.0,253.0,96.0,52.0,1460.0
G_8,190.0,131.0,151.0,146.0,34.0,93.0,215.0,192.0,0.0,53.0,367.0,365.0,93.0,214.0,174.0,239.0,432.0,448.0,73.0,310.0,53.0,212.0,247.0,270.0,109.0,149.0,74.0,113.0,20.0,274.0,115.0,42.0,111.0,39.0,174.0,113.0,238.0,92.0,73.0,269.0,231.0,1640.0
G_9,231.0,173.0,191.0,187.0,38.0,132.0,260.0,233.0,53.0,0.0,413.0,408.0,128.0,259.0,214.0,279.0,472.0,492.0,35.0,352.0,91.0,253.0,291.0,308.0,150.0,192.0,35.0,77.0,63.0,318.0,150.0,83.0,155.0,76.0,215.0,156.0,280.0,133.0,36.0,311.0,273.0,1680.0
