,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21
G_base,0.0,924.0,4488.0,3048.0,10998.0,862.0,8090.0,7474.0,872.0,7365.0,1626.0,3810.0,4465.0,3024.0,3028.0,3843.0,2328.0,5190.0,7373.0,8833.0,189.0,39615.0
G_1,924.0,0.0,3759.0,2334.0,10307.0,161.0,7405.0,8167.0,1611.0,6638.0,2340.0,4528.0,3734.0,2293.0,2302.0,4537.0,3062.0,4466.0,6654.0,8109.0,908.0,40304.0
G_2,4488.0,3759.0,0.0,1564.0,6641.0,3754.0,3762.0,11781.0,5196.0,2982.0,5952.0,8142.0,100.0,1589.0,1577.0,8149.0,6657.0,820.0,3005.0,4447.0,4499.0,43911.0
G_3,3048.0,2334.0,1564.0,0.0,8086.0,2328.0,5202.0,10338.0,3749.0,4455.0,4505.0,6662.0,1559.0,151.0,168.0,6713.0,5196.0,2281.0,4477.0,5908.0,3055.0,42466.0
G_4,10998.0,10307.0,6641.0,8086.0,0.0,10296.0,3003.0,18322.0,11749.0,3734.0,12493.0,14690.0,6637.0,8129.0,8115.0,14704.0,13205.0,5911.0,3742.0,2288.0,11045.0,50457.0
G_5,862.0,161.0,3754.0,2328.0,10296.0,0.0,7396.0,8145.0,1559.0,6633.0,2311.0,4501.0,3734.0,2273.0,2287.0,4511.0,3010.0,4463.0,6651.0,8100.0,885.0,40284.0
G_6,8090.0,7405.0,3762.0,5202.0,3003.0,7396.0,0.0,15441.0,8850.0,849.0,9586.0,11777.0,3746.0,5218.0,5205.0,11796.0,10311.0,3033.0,842.0,845.0,8144.0,47562.0
G_7,7474.0,8167.0,11781.0,10338.0,18322.0,8145.0,15441.0,0.0,6720.0,14668.0,5929.0,3767.0,11760.0,10271.0,10303.0,3766.0,5234.0,12491.0,14696.0,16133.0,7439.0,32208.0
G_8,872.0,1611.0,5196.0,3749.0,11749.0,1559.0,8850.0,6720.0,0.0,8085.0,889.0,3040.0,5189.0,3717.0,3733.0,3087.0,1560.0,5919.0,8102.0,9557.0,894.0,38863.0
G_9,7365.0,6638.0,2982.0,4455.0,3734.0,6633.0,849.0,14668.0,8085.0,0.0,8841.0,11023.0,2984.0,4473.0,4462.0,11044.0,9545.0,2242.0,102.0,1542.0,7383.0,46808.0
G_10,1626.0,2340.0,5952.0,4505.0,12493.0,2311.0,9586.0,5929.0,889.0,8841.0,0.0,2289.0,5936.0,4435.0,4465.0,2285.0,844.0,6668.0,8852.0,10289.0,1610.0,38044.0
G_11,3810.0,4528.0,8142.0,6662.0,14690.0,4501.0,11777.0,3767.0,3040.0,11023.0,2289.0,0.0,8121.0,6616.0,6645.0,169.0,1555.0,8847.0,11039.0,12478.0,3775.0,35889.0
G_12,4465.0,3734.0,100.0,1559.0,6637.0,3734.0,3746.0,11760.0,5189.0,2984.0,5936.0,8121.0,0.0,1560.0,1553.0,8136.0,6641.0,820.0,3016.0,4457.0,4482.0,43901.0
G_13,3024.0,2293.0,1589.0,151.0,8129.0,2273.0,5218.0,10271.0,3717.0,4473.0,4435.0,6616.0,1560.0,0.0,87.0,6611.0,5155.0,2301.0,4480.0,5928.0,3007.0,42387.0
G_14,3028.0,2302.0,1577.0,168.0,8115.0,2287.0,5205.0,10303.0,3733.0,4462.0,4465.0,6645.0,1553.0,87.0,0.0,6651.0,5187.0,2288.0,4467.0,5920.0,3033.0,42421.0
G_15,3843.0,4537.0,8149.0,6713.0,14704.0,4511.0,11796.0,3766.0,3087.0,11044.0,2285.0,169.0,8136.0,6611.0,6651.0,0.0,1615.0,8865.0,11052.0,12484.0,3818.0,35876.0
G_16,2328.0,3062.0,6657.0,5196.0,13205.0,3010.0,10311.0,5234.0,1560.0,9545.0,844.0,1555.0,6641.0,5155.0,5187.0,1615.0,0.0,7372.0,9567.0,11023.0,2333.0,37382.0
G_17,5190.0,4466.0,820.0,2281.0,5911.0,4463.0,3033.0,12491.0,5919.0,2242.0,6668.0,8847.0,820.0,2301.0,2288.0,8865.0,7372.0,0.0,2274.0,3715.0,5211.0,44625.0
G_18,7373.0,6654.0,3005.0,4477.0,3742.0,6651.0,842.0,14696.0,8102.0,102.0,8852.0,11039.0,3016.0,4480.0,4467.0,11052.0,9567.0,2274.0,0.0,1547.0,7410.0,46818.0
G_19,8833.0,8109.0,4447.0,5908.0,2288.0,8100.0,845.0,16133.0,9557.0,1542.0,10289.0,12478.0,4457.0,5928.0,5920.0,12484.0,11023.0,3715.0,1547.0,0.0,8838.0,48240.0
G_20,189.0,908.0,4499.0,3055.0,11045.0,885.0,8144.0,7439.0,894.0,7383.0,1610.0,3775.0,4482.0,3007.0,3033.0,3818.0,2333.0,5211.0,7410.0,8838.0,0.0,39574.0
G_21,39615.0,40304.0,43911.0,42466.0,50457.0,40284.0,47562.0,32208.0,38863.0,46808.0,38044.0,35889.0,43901.0,42387.0,42421.0,35876.0,37382.0,44625.0,46818.0,48240.0,39574.0,0.0
