Precision,Recall,F1-score,SDTED
0.8148148148148148,0.88,0.8461538461538461,0.9363013698630137
0.8695652173913043,0.8,0.8333333333333333,0.8945205479452055
0.76,0.76,0.76,0.9568493150684931
0.9565217391304348,0.88,0.9166666666666666,0.8726027397260274
0.8148148148148148,0.88,0.8461538461538461,0.9267123287671233
0.7692307692307693,0.8,0.7843137254901961,0.8650684931506849
0.85,0.68,0.7555555555555556,0.8404109589041096
0.9166666666666666,0.88,0.8979591836734694,0.9773972602739726
0.95,0.76,0.8444444444444444,0.8027397260273973
0.75,0.84,0.7924528301886793,0.7965753424657535
0.7916666666666666,0.76,0.7755102040816326,0.9212328767123288
0.76,0.76,0.76,0.8787671232876713
0.8518518518518519,0.92,0.8846153846153846,0.8828767123287671
0.8333333333333334,0.8,0.816326530612245,0.9219178082191781
0.8461538461538461,0.88,0.8627450980392156,0.9773972602739726
0.6206896551724138,0.72,0.6666666666666666,0.8034246575342465
0.9230769230769231,0.96,0.9411764705882353,0.9267123287671233
0.7096774193548387,0.88,0.7857142857142856,0.7486301369863013
0.7586206896551724,0.88,0.8148148148148148,0.797945205479452
0.84,0.84,0.8399999999999999,0.9609589041095891
0.84,0.84,0.8399999999999999,0.9315068493150684
0.782608695652174,0.72,0.7499999999999999,0.9027397260273973
0.8214285714285714,0.92,0.8679245283018867,0.8849315068493151
0.8181818181818182,0.72,0.7659574468085107,0.9287671232876712
0.7692307692307693,0.8,0.7843137254901961,0.8801369863013698
0.875,0.84,0.8571428571428572,0.9602739726027397
0.9565217391304348,0.88,0.9166666666666666,0.8452054794520548
0.8076923076923077,0.84,0.8235294117647058,0.9212328767123288
0.8636363636363636,0.76,0.8085106382978724,0.8034246575342465
0.7857142857142857,0.88,0.830188679245283,0.8294520547945206
0.8181818181818182,0.72,0.7659574468085107,0.8931506849315068
0.8695652173913043,0.8,0.8333333333333333,0.8417808219178082
0.7407407407407407,0.8,0.7692307692307692,0.9719178082191781
0.8518518518518519,0.92,0.8846153846153846,0.8712328767123287
0.7741935483870968,0.96,0.8571428571428571,0.7506849315068493
0.8260869565217391,0.76,0.7916666666666667,0.8890410958904109
0.8181818181818182,0.72,0.7659574468085107,0.8821917808219178
0.7916666666666666,0.76,0.7755102040816326,0.9732876712328767
0.76,0.76,0.76,0.8506849315068493
0.7692307692307693,0.8,0.7843137254901961,0.9465753424657535
