,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_base,0.0,93.0,154.0,63.0,186.0,107.0,197.0,233.0,33.0,288.0,297.0,115.0,177.0,171.0,114.0,33.0,287.0,107.0,367.0,295.0,57.0,100.0,142.0,168.0,104.0,175.0,58.0,226.0,115.0,287.0,249.0,156.0,231.0,41.0,188.0,364.0,162.0,172.0,39.0,218.0,78.0,1460.0
G_1,93.0,0.0,233.0,134.0,268.0,31.0,271.0,310.0,74.0,367.0,216.0,41.0,93.0,92.0,192.0,72.0,204.0,36.0,287.0,216.0,125.0,20.0,211.0,87.0,174.0,93.0,135.0,308.0,37.0,367.0,169.0,229.0,307.0,76.0,108.0,285.0,237.0,251.0,74.0,288.0,31.0,1540.0
G_2,154.0,233.0,0.0,124.0,57.0,248.0,67.0,103.0,170.0,156.0,427.0,257.0,318.0,314.0,61.0,174.0,424.0,256.0,510.0,433.0,123.0,239.0,45.0,310.0,83.0,318.0,119.0,94.0,256.0,153.0,392.0,20.0,97.0,179.0,335.0,510.0,30.0,41.0,177.0,82.0,215.0,1320.0
G_3,63.0,134.0,124.0,0.0,156.0,151.0,152.0,197.0,82.0,255.0,337.0,154.0,209.0,212.0,79.0,77.0,317.0,159.0,408.0,328.0,17.0,136.0,102.0,209.0,60.0,217.0,18.0,197.0,155.0,254.0,288.0,122.0,196.0,73.0,233.0,405.0,118.0,135.0,81.0,175.0,112.0,1420.0
G_4,186.0,268.0,57.0,156.0,0.0,284.0,20.0,56.0,212.0,113.0,472.0,290.0,351.0,348.0,96.0,205.0,458.0,288.0,547.0,473.0,152.0,271.0,83.0,345.0,114.0,350.0,151.0,53.0,295.0,112.0,424.0,57.0,52.0,213.0,369.0,544.0,60.0,37.0,212.0,38.0,251.0,1280.0
G_5,107.0,31.0,248.0,151.0,284.0,0.0,291.0,326.0,91.0,386.0,198.0,15.0,74.0,75.0,208.0,87.0,188.0,16.0,267.0,197.0,149.0,39.0,233.0,68.0,191.0,77.0,150.0,326.0,16.0,384.0,150.0,246.0,325.0,92.0,90.0,267.0,251.0,265.0,95.0,307.0,53.0,1560.0
G_6,197.0,271.0,67.0,152.0,20.0,291.0,0.0,60.0,217.0,120.0,473.0,291.0,348.0,346.0,95.0,211.0,449.0,293.0,546.0,464.0,151.0,272.0,84.0,348.0,119.0,350.0,155.0,61.0,293.0,117.0,428.0,60.0,62.0,207.0,368.0,543.0,66.0,43.0,209.0,43.0,251.0,1280.0
G_7,233.0,310.0,103.0,197.0,56.0,326.0,60.0,0.0,254.0,77.0,516.0,330.0,387.0,391.0,130.0,247.0,499.0,329.0,586.0,515.0,195.0,312.0,128.0,388.0,156.0,391.0,195.0,22.0,331.0,84.0,469.0,95.0,20.0,255.0,409.0,587.0,100.0,80.0,254.0,41.0,295.0,1240.0
G_8,33.0,74.0,170.0,82.0,212.0,91.0,217.0,254.0,0.0,308.0,271.0,98.0,160.0,156.0,132.0,17.0,265.0,91.0,349.0,273.0,80.0,83.0,156.0,151.0,117.0,160.0,77.0,245.0,100.0,306.0,230.0,174.0,253.0,25.0,174.0,350.0,182.0,197.0,17.0,238.0,59.0,1480.0
G_9,288.0,367.0,156.0,255.0,113.0,386.0,120.0,77.0,308.0,0.0,571.0,389.0,450.0,453.0,191.0,307.0,558.0,387.0,646.0,573.0,256.0,367.0,184.0,446.0,209.0,453.0,250.0,76.0,393.0,22.0,529.0,152.0,80.0,312.0,470.0,647.0,159.0,137.0,311.0,99.0,351.0,1180.0
